"step","run-multi-task-debiasing-1-logit - _step","run-multi-task-debiasing-1-logit - _step__MIN","run-multi-task-debiasing-1-logit - _step__MAX","run-multi-task-debiasing-1-logit - Click loss","run-multi-task-debiasing-1-logit - Click loss__MIN","run-multi-task-debiasing-1-logit - Click loss__MAX"
"661","3301","3301","3301","0.2245064526796341","0.2245064526796341","0.2245064526796341"
"662","3306","3306","3306","0.5034075379371643","0.5034075379371643","0.5034075379371643"
"666","3326","3326","3326","0.23050203919410706","0.23050203919410706","0.23050203919410706"
"694","3466","3466","3466","0.21114593744277954","0.21114593744277954","0.21114593744277954"
"700","3496","3496","3496","0.280081182718277","0.280081182718277","0.280081182718277"
"707","3531","3531","3531","0.31255829334259033","0.31255829334259033","0.31255829334259033"
"713","3561","3561","3561","0.195913165807724","0.195913165807724","0.195913165807724"
"718","3586","3586","3586","0.18140888214111328","0.18140888214111328","0.18140888214111328"
"722","3606","3606","3606","0.23097792267799377","0.23097792267799377","0.23097792267799377"
"730","3646","3646","3646","0.350951611995697","0.350951611995697","0.350951611995697"
"740","3696","3696","3696","0.24943731725215912","0.24943731725215912","0.24943731725215912"
"769","3841","3841","3841","0.19597230851650238","0.19597230851650238","0.19597230851650238"
"771","3851","3851","3851","0.30383890867233276","0.30383890867233276","0.30383890867233276"
"819","4091","4091","4091","0.271113783121109","0.271113783121109","0.271113783121109"
"822","4106","4106","4106","0.202802374958992","0.202802374958992","0.202802374958992"
"828","4136","4136","4136","0.1324656903743744","0.1324656903743744","0.1324656903743744"
"837","4181","4181","4181","0.29438894987106323","0.29438894987106323","0.29438894987106323"
"842","4206","4206","4206","0.26388904452323914","0.26388904452323914","0.26388904452323914"
"847","4231","4231","4231","0.1515357792377472","0.1515357792377472","0.1515357792377472"
"856","4276","4276","4276","0.14631423354148865","0.14631423354148865","0.14631423354148865"
"915","4571","4571","4571","0.41391539573669434","0.41391539573669434","0.41391539573669434"
"921","4601","4601","4601","0.2822423279285431","0.2822423279285431","0.2822423279285431"
"933","4661","4661","4661","0.3198353052139282","0.3198353052139282","0.3198353052139282"
"944","4716","4716","4716","0.1977129727602005","0.1977129727602005","0.1977129727602005"
"945","4721","4721","4721","0.2827123999595642","0.2827123999595642","0.2827123999595642"
"948","4736","4736","4736","0.6163219213485718","0.6163219213485718","0.6163219213485718"
"988","4936","4936","4936","0.3469342589378357","0.3469342589378357","0.3469342589378357"
"1005","5021","5021","5021","0.19622649252414703","0.19622649252414703","0.19622649252414703"
"1013","5061","5061","5061","0.13101601600646973","0.13101601600646973","0.13101601600646973"
"1036","5176","5176","5176","0.336433470249176","0.336433470249176","0.336433470249176"
"1047","5231","5231","5231","0.1382288634777069","0.1382288634777069","0.1382288634777069"
"1053","5261","5261","5261","0.33113545179367065","0.33113545179367065","0.33113545179367065"
"1073","5361","5361","5361","0.22109782695770264","0.22109782695770264","0.22109782695770264"
"1082","5406","5406","5406","0.38398438692092896","0.38398438692092896","0.38398438692092896"
"1087","5431","5431","5431","0.2703101634979248","0.2703101634979248","0.2703101634979248"
"1092","5456","5456","5456","0.3273859918117523","0.3273859918117523","0.3273859918117523"
"1094","5466","5466","5466","0.1952688992023468","0.1952688992023468","0.1952688992023468"
"1097","5481","5481","5481","0.12959955632686615","0.12959955632686615","0.12959955632686615"
"1103","5511","5511","5511","0.2758079469203949","0.2758079469203949","0.2758079469203949"
"1104","5516","5516","5516","0.10367001593112946","0.10367001593112946","0.10367001593112946"
"1111","5551","5551","5551","0.3613412380218506","0.3613412380218506","0.3613412380218506"
"1140","5696","5696","5696","0.11344282329082489","0.11344282329082489","0.11344282329082489"
"1148","5736","5736","5736","0.3093063533306122","0.3093063533306122","0.3093063533306122"
"1153","5761","5761","5761","0.47751379013061523","0.47751379013061523","0.47751379013061523"
"1158","5786","5786","5786","0.24476417899131775","0.24476417899131775","0.24476417899131775"
"1159","5791","5791","5791","0.48354366421699524","0.48354366421699524","0.48354366421699524"
"1177","5881","5881","5881","0.35336172580718994","0.35336172580718994","0.35336172580718994"
"1179","5891","5891","5891","0.1631004810333252","0.1631004810333252","0.1631004810333252"
"1180","5896","5896","5896","0.1143694743514061","0.1143694743514061","0.1143694743514061"
"1187","5931","5931","5931","0.2772173285484314","0.2772173285484314","0.2772173285484314"
"1195","5971","5971","5971","0.19560456275939941","0.19560456275939941","0.19560456275939941"
"1200","5996","5996","5996","0.3345029950141907","0.3345029950141907","0.3345029950141907"
"1239","6191","6191","6191","0.199384406208992","0.199384406208992","0.199384406208992"
"1249","6241","6241","6241","0.11637881398200989","0.11637881398200989","0.11637881398200989"
"1251","6251","6251","6251","0.1687786728143692","0.1687786728143692","0.1687786728143692"
"1252","6256","6256","6256","0.3553011119365692","0.3553011119365692","0.3553011119365692"
"1263","6311","6311","6311","0.30349308252334595","0.30349308252334595","0.30349308252334595"
"1268","6336","6336","6336","0.26173263788223267","0.26173263788223267","0.26173263788223267"
"1276","6376","6376","6376","0.17060282826423645","0.17060282826423645","0.17060282826423645"
"1282","6406","6406","6406","0.29622820019721985","0.29622820019721985","0.29622820019721985"
"1290","6446","6446","6446","0.060048043727874756","0.060048043727874756","0.060048043727874756"
"1296","6476","6476","6476","0.19595026969909668","0.19595026969909668","0.19595026969909668"
"1300","6496","6496","6496","0.4377812147140503","0.4377812147140503","0.4377812147140503"
"1305","6521","6521","6521","0.3503951132297516","0.3503951132297516","0.3503951132297516"
"1312","6556","6556","6556","0.08316738158464432","0.08316738158464432","0.08316738158464432"
"1315","6571","6571","6571","0.10221457481384277","0.10221457481384277","0.10221457481384277"
"1319","6591","6591","6591","0.1805875599384308","0.1805875599384308","0.1805875599384308"
"1334","6666","6666","6666","0.3065657317638397","0.3065657317638397","0.3065657317638397"
"1336","6676","6676","6676","0.38611918687820435","0.38611918687820435","0.38611918687820435"
"1354","6766","6766","6766","0.23272399604320526","0.23272399604320526","0.23272399604320526"
"1363","6811","6811","6811","0.24706822633743286","0.24706822633743286","0.24706822633743286"
"1365","6821","6821","6821","0.2877332270145416","0.2877332270145416","0.2877332270145416"
"1404","7016","7016","7016","0.21394947171211243","0.21394947171211243","0.21394947171211243"
"1407","7031","7031","7031","0.16735106706619263","0.16735106706619263","0.16735106706619263"
"1410","7046","7046","7046","0.24934639036655426","0.24934639036655426","0.24934639036655426"
"1426","7126","7126","7126","0.18642544746398926","0.18642544746398926","0.18642544746398926"
"1427","7131","7131","7131","0.365536630153656","0.365536630153656","0.365536630153656"
"1447","7231","7231","7231","0.18974079191684723","0.18974079191684723","0.18974079191684723"
"1449","7241","7241","7241","0.20307748019695282","0.20307748019695282","0.20307748019695282"
"1462","7306","7306","7306","0.2867002785205841","0.2867002785205841","0.2867002785205841"
"1466","7326","7326","7326","0.3217877149581909","0.3217877149581909","0.3217877149581909"
"1505","7521","7521","7521","0.2374575287103653","0.2374575287103653","0.2374575287103653"
"1531","7651","7651","7651","0.1998613476753235","0.1998613476753235","0.1998613476753235"
"1545","7721","7721","7721","0.13406115770339966","0.13406115770339966","0.13406115770339966"
"1554","7766","7766","7766","0.4187198281288147","0.4187198281288147","0.4187198281288147"
"1556","7776","7776","7776","0.1616545021533966","0.1616545021533966","0.1616545021533966"
"1575","7871","7871","7871","0.1619318127632141","0.1619318127632141","0.1619318127632141"
"1577","7881","7881","7881","0.16909785568714142","0.16909785568714142","0.16909785568714142"
"1583","7911","7911","7911","0.24545510113239288","0.24545510113239288","0.24545510113239288"
"1585","7921","7921","7921","0.2127286046743393","0.2127286046743393","0.2127286046743393"
"1600","7996","7996","7996","0.38196802139282227","0.38196802139282227","0.38196802139282227"
"1601","8001","8001","8001","0.22989381849765778","0.22989381849765778","0.22989381849765778"
"1631","8151","8151","8151","0.3813502788543701","0.3813502788543701","0.3813502788543701"
"1636","8176","8176","8176","0.3719460666179657","0.3719460666179657","0.3719460666179657"
"1659","8291","8291","8291","0.33499935269355774","0.33499935269355774","0.33499935269355774"
"1673","8361","8361","8361","0.19126036763191223","0.19126036763191223","0.19126036763191223"
"1676","8376","8376","8376","0.12913528084754944","0.12913528084754944","0.12913528084754944"
"1679","8391","8391","8391","0.25717562437057495","0.25717562437057495","0.25717562437057495"
"1703","8511","8511","8511","0.23807759582996368","0.23807759582996368","0.23807759582996368"
"1711","8551","8551","8551","0.26244446635246277","0.26244446635246277","0.26244446635246277"
"1716","8576","8576","8576","0.28874096274375916","0.28874096274375916","0.28874096274375916"
"1724","8616","8616","8616","0.17394763231277466","0.17394763231277466","0.17394763231277466"
"1740","8696","8696","8696","0.2654288113117218","0.2654288113117218","0.2654288113117218"
"1754","8766","8766","8766","0.34595078229904175","0.34595078229904175","0.34595078229904175"
"1763","8811","8811","8811","0.13559409976005554","0.13559409976005554","0.13559409976005554"
"1776","8876","8876","8876","0.38944029808044434","0.38944029808044434","0.38944029808044434"
"1780","8896","8896","8896","0.1589115858078003","0.1589115858078003","0.1589115858078003"
"1790","8946","8946","8946","0.16208301484584808","0.16208301484584808","0.16208301484584808"
"1805","9021","9021","9021","0.3799220025539398","0.3799220025539398","0.3799220025539398"
"1821","9101","9101","9101","0.20753523707389832","0.20753523707389832","0.20753523707389832"
"1830","9146","9146","9146","0.26179179549217224","0.26179179549217224","0.26179179549217224"
"1863","9311","9311","9311","0.4099733829498291","0.4099733829498291","0.4099733829498291"
"1867","9331","9331","9331","0.2881717085838318","0.2881717085838318","0.2881717085838318"
"1870","9346","9346","9346","0.14203637838363647","0.14203637838363647","0.14203637838363647"
"1893","9461","9461","9461","0.18425753712654114","0.18425753712654114","0.18425753712654114"
"1898","9486","9486","9486","0.14111441373825073","0.14111441373825073","0.14111441373825073"
"1932","9656","9656","9656","0.33135825395584106","0.33135825395584106","0.33135825395584106"
"1935","9671","9671","9671","0.1712072342634201","0.1712072342634201","0.1712072342634201"
"1943","9711","9711","9711","0.20812416076660156","0.20812416076660156","0.20812416076660156"
"1964","9816","9816","9816","0.18138670921325684","0.18138670921325684","0.18138670921325684"
"1970","9846","9846","9846","0.17831650376319885","0.17831650376319885","0.17831650376319885"
"1975","9871","9871","9871","0.2307615727186203","0.2307615727186203","0.2307615727186203"
"2016","10076","10076","10076","0.49153026938438416","0.49153026938438416","0.49153026938438416"
"2024","10116","10116","10116","0.30318641662597656","0.30318641662597656","0.30318641662597656"
"2028","10136","10136","10136","0.2892366349697113","0.2892366349697113","0.2892366349697113"
"2050","10246","10246","10246","0.21295450627803802","0.21295450627803802","0.21295450627803802"
"2078","10386","10386","10386","0.3963426649570465","0.3963426649570465","0.3963426649570465"
"2129","10641","10641","10641","0.2762557864189148","0.2762557864189148","0.2762557864189148"
"2145","10721","10721","10721","0.19183994829654694","0.19183994829654694","0.19183994829654694"
"2190","10946","10946","10946","0.41666391491889954","0.41666391491889954","0.41666391491889954"
"2227","11131","11131","11131","0.17265446484088898","0.17265446484088898","0.17265446484088898"
"2251","11251","11251","11251","0.2103344202041626","0.2103344202041626","0.2103344202041626"
"2254","11266","11266","11266","0.1547495424747467","0.1547495424747467","0.1547495424747467"
"2255","11271","11271","11271","0.32289785146713257","0.32289785146713257","0.32289785146713257"
"2263","11311","11311","11311","0.21281138062477112","0.21281138062477112","0.21281138062477112"
"2270","11346","11346","11346","0.1851077377796173","0.1851077377796173","0.1851077377796173"
"2278","11386","11386","11386","0.4252893328666687","0.4252893328666687","0.4252893328666687"
"2297","11481","11481","11481","0.083492711186409","0.083492711186409","0.083492711186409"
"2311","11551","11551","11551","0.30284011363983154","0.30284011363983154","0.30284011363983154"
"2328","11636","11636","11636","0.11932621151208878","0.11932621151208878","0.11932621151208878"
"2345","11721","11721","11721","0.22232893109321594","0.22232893109321594","0.22232893109321594"
"2351","11751","11751","11751","0.27691686153411865","0.27691686153411865","0.27691686153411865"
"2353","11761","11761","11761","0.392130047082901","0.392130047082901","0.392130047082901"
"2354","11766","11766","11766","0.21513989567756653","0.21513989567756653","0.21513989567756653"
"2361","11801","11801","11801","0.5713334083557129","0.5713334083557129","0.5713334083557129"
"2366","11826","11826","11826","0.16520458459854126","0.16520458459854126","0.16520458459854126"
"2371","11851","11851","11851","0.27049893140792847","0.27049893140792847","0.27049893140792847"
"2393","11961","11961","11961","0.3352441191673279","0.3352441191673279","0.3352441191673279"
"2398","11986","11986","11986","0.4172295331954956","0.4172295331954956","0.4172295331954956"
"2403","12011","12011","12011","0.42540955543518066","0.42540955543518066","0.42540955543518066"
"2412","12056","12056","12056","0.39457613229751587","0.39457613229751587","0.39457613229751587"
"2418","12086","12086","12086","0.3087312579154968","0.3087312579154968","0.3087312579154968"
"2425","12121","12121","12121","0.05934642255306244","0.05934642255306244","0.05934642255306244"
"2441","12201","12201","12201","0.5152588486671448","0.5152588486671448","0.5152588486671448"
"2452","12256","12256","12256","0.10509330034255981","0.10509330034255981","0.10509330034255981"
"2462","12306","12306","12306","0.21861685812473297","0.21861685812473297","0.21861685812473297"
"2478","12386","12386","12386","0.591139554977417","0.591139554977417","0.591139554977417"
"2499","12491","12491","12491","0.14362701773643494","0.14362701773643494","0.14362701773643494"
"2516","12576","12576","12576","0.1500057876110077","0.1500057876110077","0.1500057876110077"
"2544","12716","12716","12716","0.12016372382640839","0.12016372382640839","0.12016372382640839"
"2550","12746","12746","12746","0.36765265464782715","0.36765265464782715","0.36765265464782715"
"2561","12801","12801","12801","0.1883963644504547","0.1883963644504547","0.1883963644504547"
"2570","12846","12846","12846","0.2897922992706299","0.2897922992706299","0.2897922992706299"
"2593","12961","12961","12961","0.40235865116119385","0.40235865116119385","0.40235865116119385"
"2600","12996","12996","12996","0.3068031072616577","0.3068031072616577","0.3068031072616577"
"2616","13076","13076","13076","0.07879450172185898","0.07879450172185898","0.07879450172185898"
"2642","13206","13206","13206","0.42357510328292847","0.42357510328292847","0.42357510328292847"
"2659","13291","13291","13291","0.23411990702152252","0.23411990702152252","0.23411990702152252"
"2672","13356","13356","13356","0.15714409947395325","0.15714409947395325","0.15714409947395325"
"2674","13366","13366","13366","0.14555448293685913","0.14555448293685913","0.14555448293685913"
"2677","13381","13381","13381","0.3150225877761841","0.3150225877761841","0.3150225877761841"
"2683","13411","13411","13411","0.32546842098236084","0.32546842098236084","0.32546842098236084"
"2709","13541","13541","13541","0.12561827898025513","0.12561827898025513","0.12561827898025513"
"2711","13551","13551","13551","0.21215663850307465","0.21215663850307465","0.21215663850307465"
"2714","13566","13566","13566","0.25955480337142944","0.25955480337142944","0.25955480337142944"
"2751","13751","13751","13751","0.4614245891571045","0.4614245891571045","0.4614245891571045"
"2761","13801","13801","13801","0.09827382862567902","0.09827382862567902","0.09827382862567902"
"2762","13806","13806","13806","0.205964133143425","0.205964133143425","0.205964133143425"
"2796","13976","13976","13976","0.3191836476325989","0.3191836476325989","0.3191836476325989"
"2798","13986","13986","13986","0.18703296780586243","0.18703296780586243","0.18703296780586243"
"2815","14071","14071","14071","0.25085368752479553","0.25085368752479553","0.25085368752479553"
"2819","14091","14091","14091","0.20564599335193634","0.20564599335193634","0.20564599335193634"
"2831","14151","14151","14151","0.09928586333990097","0.09928586333990097","0.09928586333990097"
"2841","14201","14201","14201","0.23320093750953674","0.23320093750953674","0.23320093750953674"
"2843","14211","14211","14211","0.27652424573898315","0.27652424573898315","0.27652424573898315"
"2879","14391","14391","14391","0.10516010969877243","0.10516010969877243","0.10516010969877243"
"2894","14466","14466","14466","0.6897728443145752","0.6897728443145752","0.6897728443145752"
"2897","14481","14481","14481","0.15476052463054657","0.15476052463054657","0.15476052463054657"
"2898","14486","14486","14486","0.12777920067310333","0.12777920067310333","0.12777920067310333"
"2900","14496","14496","14496","0.12844328582286835","0.12844328582286835","0.12844328582286835"
"2907","14531","14531","14531","0.24013398587703705","0.24013398587703705","0.24013398587703705"
"2913","14561","14561","14561","0.259635329246521","0.259635329246521","0.259635329246521"
"2915","14571","14571","14571","0.34981128573417664","0.34981128573417664","0.34981128573417664"
"2919","14591","14591","14591","0.26590242981910706","0.26590242981910706","0.26590242981910706"
"2956","14776","14776","14776","0.30534303188323975","0.30534303188323975","0.30534303188323975"
"2963","14811","14811","14811","0.1410568654537201","0.1410568654537201","0.1410568654537201"
"2988","14936","14936","14936","0.3034612536430359","0.3034612536430359","0.3034612536430359"
"3018","15086","15086","15086","0.28579235076904297","0.28579235076904297","0.28579235076904297"
"3022","15106","15106","15106","0.12410451471805573","0.12410451471805573","0.12410451471805573"
"3033","15161","15161","15161","0.16179439425468445","0.16179439425468445","0.16179439425468445"
"3044","15216","15216","15216","0.17399129271507263","0.17399129271507263","0.17399129271507263"
"3060","15296","15296","15296","0.2621808648109436","0.2621808648109436","0.2621808648109436"
"3069","15341","15341","15341","0.3415871858596802","0.3415871858596802","0.3415871858596802"
"3123","15611","15611","15611","0.09631074965000153","0.09631074965000153","0.09631074965000153"
"3158","15786","15786","15786","0.35136282444000244","0.35136282444000244","0.35136282444000244"
"3168","15836","15836","15836","0.1298680156469345","0.1298680156469345","0.1298680156469345"
"3175","15871","15871","15871","0.46078914403915405","0.46078914403915405","0.46078914403915405"
"3191","15951","15951","15951","0.19291262328624725","0.19291262328624725","0.19291262328624725"
"3211","16051","16051","16051","0.2913769483566284","0.2913769483566284","0.2913769483566284"
"3225","16121","16121","16121","0.20673270523548126","0.20673270523548126","0.20673270523548126"
"3241","16201","16201","16201","0.20672687888145447","0.20672687888145447","0.20672687888145447"
"3247","16231","16231","16231","0.171158105134964","0.171158105134964","0.171158105134964"
"3248","16236","16236","16236","0.29678478837013245","0.29678478837013245","0.29678478837013245"
"3252","16256","16256","16256","0.14217588305473328","0.14217588305473328","0.14217588305473328"
"3254","16266","16266","16266","0.16244134306907654","0.16244134306907654","0.16244134306907654"
"3290","16446","16446","16446","0.14587143063545227","0.14587143063545227","0.14587143063545227"
"3299","16491","16491","16491","0.17502081394195557","0.17502081394195557","0.17502081394195557"
"3315","16571","16571","16571","0.14664849638938904","0.14664849638938904","0.14664849638938904"
"3319","16591","16591","16591","0.2791408896446228","0.2791408896446228","0.2791408896446228"
"3336","16676","16676","16676","0.23511497676372528","0.23511497676372528","0.23511497676372528"
"3346","16726","16726","16726","0.29310867190361023","0.29310867190361023","0.29310867190361023"
"3348","16736","16736","16736","0.2532657980918884","0.2532657980918884","0.2532657980918884"
"3358","16786","16786","16786","0.3090290427207947","0.3090290427207947","0.3090290427207947"
"3377","16881","16881","16881","0.23217687010765076","0.23217687010765076","0.23217687010765076"
"3383","16911","16911","16911","0.32864344120025635","0.32864344120025635","0.32864344120025635"
"3387","16931","16931","16931","0.1839907169342041","0.1839907169342041","0.1839907169342041"
"3388","16936","16936","16936","0.2541233003139496","0.2541233003139496","0.2541233003139496"
"3410","17046","17046","17046","0.2859240174293518","0.2859240174293518","0.2859240174293518"
"3425","17121","17121","17121","0.12776276469230652","0.12776276469230652","0.12776276469230652"
"3437","17181","17181","17181","0.2597997486591339","0.2597997486591339","0.2597997486591339"
"3446","17226","17226","17226","0.15274953842163086","0.15274953842163086","0.15274953842163086"
"3477","17381","17381","17381","0.26622796058654785","0.26622796058654785","0.26622796058654785"
"3487","17431","17431","17431","0.08897752314805984","0.08897752314805984","0.08897752314805984"
"3489","17441","17441","17441","0.20660492777824402","0.20660492777824402","0.20660492777824402"
"3492","17456","17456","17456","0.10802717506885529","0.10802717506885529","0.10802717506885529"
"3494","17466","17466","17466","0.20773735642433167","0.20773735642433167","0.20773735642433167"
"3497","17481","17481","17481","0.18745729327201843","0.18745729327201843","0.18745729327201843"
"3499","17491","17491","17491","0.1648024618625641","0.1648024618625641","0.1648024618625641"
"3510","17546","17546","17546","0.29333654046058655","0.29333654046058655","0.29333654046058655"
"3511","17551","17551","17551","0.44846129417419434","0.44846129417419434","0.44846129417419434"
"3528","17636","17636","17636","0.17693936824798584","0.17693936824798584","0.17693936824798584"
"3529","17641","17641","17641","0.22296306490898132","0.22296306490898132","0.22296306490898132"
"3582","17906","17906","17906","0.24862389266490936","0.24862389266490936","0.24862389266490936"
"3590","17946","17946","17946","0.14891372621059418","0.14891372621059418","0.14891372621059418"
"3624","18116","18116","18116","0.14325302839279175","0.14325302839279175","0.14325302839279175"
"3656","18276","18276","18276","0.2462044358253479","0.2462044358253479","0.2462044358253479"
"3685","18421","18421","18421","0.19585934281349182","0.19585934281349182","0.19585934281349182"
"3717","18581","18581","18581","0.34731245040893555","0.34731245040893555","0.34731245040893555"
"3723","18611","18611","18611","0.22563225030899048","0.22563225030899048","0.22563225030899048"
"3726","18626","18626","18626","0.1623067855834961","0.1623067855834961","0.1623067855834961"
"3739","18691","18691","18691","0.21224167943000793","0.21224167943000793","0.21224167943000793"
"3760","18796","18796","18796","0.09665043652057648","0.09665043652057648","0.09665043652057648"
"3775","18871","18871","18871","0.2888008952140808","0.2888008952140808","0.2888008952140808"
"3788","18936","18936","18936","0.14884966611862183","0.14884966611862183","0.14884966611862183"
"3792","18956","18956","18956","0.24432186782360077","0.24432186782360077","0.24432186782360077"
"3814","19066","19066","19066","0.4210190773010254","0.4210190773010254","0.4210190773010254"
"3833","19161","19161","19161","0.15085187554359436","0.15085187554359436","0.15085187554359436"
"3834","19166","19166","19166","0.16065414249897003","0.16065414249897003","0.16065414249897003"
"3875","19371","19371","19371","0.22270435094833374","0.22270435094833374","0.22270435094833374"
"3882","19406","19406","19406","0.2002577930688858","0.2002577930688858","0.2002577930688858"
"3888","19436","19436","19436","0.24020075798034668","0.24020075798034668","0.24020075798034668"
"3922","19606","19606","19606","0.1846189647912979","0.1846189647912979","0.1846189647912979"
"3941","19701","19701","19701","0.1602632999420166","0.1602632999420166","0.1602632999420166"
"3942","19706","19706","19706","0.31424450874328613","0.31424450874328613","0.31424450874328613"
"3947","19731","19731","19731","0.32199352979660034","0.32199352979660034","0.32199352979660034"
"3971","19851","19851","19851","0.2565963566303253","0.2565963566303253","0.2565963566303253"
"3979","19891","19891","19891","0.22607964277267456","0.22607964277267456","0.22607964277267456"
"3992","19956","19956","19956","0.09783655405044556","0.09783655405044556","0.09783655405044556"
"4063","20311","20311","20311","0.18276381492614746","0.18276381492614746","0.18276381492614746"
"4081","20401","20401","20401","0.1505705863237381","0.1505705863237381","0.1505705863237381"
"4084","20416","20416","20416","0.255389928817749","0.255389928817749","0.255389928817749"
"4093","20461","20461","20461","0.16067463159561157","0.16067463159561157","0.16067463159561157"
"4103","20511","20511","20511","0.19030413031578064","0.19030413031578064","0.19030413031578064"
"4114","20566","20566","20566","0.23470166325569153","0.23470166325569153","0.23470166325569153"
"4116","20576","20576","20576","0.12802067399024963","0.12802067399024963","0.12802067399024963"
"4149","20741","20741","20741","0.4732607901096344","0.4732607901096344","0.4732607901096344"
"4152","20756","20756","20756","0.16236522793769836","0.16236522793769836","0.16236522793769836"
"4159","20791","20791","20791","0.12200485914945602","0.12200485914945602","0.12200485914945602"
"4177","20881","20881","20881","0.08604490756988525","0.08604490756988525","0.08604490756988525"
"4184","20916","20916","20916","0.31809598207473755","0.31809598207473755","0.31809598207473755"
"4187","20931","20931","20931","0.22530603408813477","0.22530603408813477","0.22530603408813477"
"4189","20941","20941","20941","0.20076239109039307","0.20076239109039307","0.20076239109039307"
"4195","20971","20971","20971","0.13950985670089722","0.13950985670089722","0.13950985670089722"
