"step","run-multi-task-without-debiasing - _step","run-multi-task-without-debiasing - _step__MIN","run-multi-task-without-debiasing - _step__MAX","run-multi-task-without-debiasing - Click loss","run-multi-task-without-debiasing - Click loss__MIN","run-multi-task-without-debiasing - Click loss__MAX"
"1405","7021","7021","7021","0.3589485287666321","0.3589485287666321","0.3589485287666321"
"1410","7046","7046","7046","0.250545471906662","0.250545471906662","0.250545471906662"
"1411","7051","7051","7051","0.17907826602458954","0.17907826602458954","0.17907826602458954"
"1420","7096","7096","7096","0.3197837769985199","0.3197837769985199","0.3197837769985199"
"1440","7196","7196","7196","0.1705532670021057","0.1705532670021057","0.1705532670021057"
"1450","7246","7246","7246","0.5223937630653381","0.5223937630653381","0.5223937630653381"
"1454","7266","7266","7266","0.33448609709739685","0.33448609709739685","0.33448609709739685"
"1496","7476","7476","7476","0.5375562310218811","0.5375562310218811","0.5375562310218811"
"1537","7681","7681","7681","0.19361385703086853","0.19361385703086853","0.19361385703086853"
"1548","7736","7736","7736","0.25854426622390747","0.25854426622390747","0.25854426622390747"
"1554","7766","7766","7766","0.43238791823387146","0.43238791823387146","0.43238791823387146"
"1577","7881","7881","7881","0.18231341242790222","0.18231341242790222","0.18231341242790222"
"1581","7901","7901","7901","0.13414356112480164","0.13414356112480164","0.13414356112480164"
"1586","7926","7926","7926","0.30482417345046997","0.30482417345046997","0.30482417345046997"
"1599","7991","7991","7991","0.17454132437705994","0.17454132437705994","0.17454132437705994"
"1613","8061","8061","8061","0.5288915634155273","0.5288915634155273","0.5288915634155273"
"1621","8101","8101","8101","0.20706218481063843","0.20706218481063843","0.20706218481063843"
"1646","8226","8226","8226","0.2582710385322571","0.2582710385322571","0.2582710385322571"
"1651","8251","8251","8251","0.24249376356601715","0.24249376356601715","0.24249376356601715"
"1661","8301","8301","8301","0.32900968194007874","0.32900968194007874","0.32900968194007874"
"1662","8306","8306","8306","0.27927860617637634","0.27927860617637634","0.27927860617637634"
"1683","8411","8411","8411","0.16443046927452087","0.16443046927452087","0.16443046927452087"
"1686","8426","8426","8426","0.12523967027664185","0.12523967027664185","0.12523967027664185"
"1701","8501","8501","8501","0.20645034313201904","0.20645034313201904","0.20645034313201904"
"1720","8596","8596","8596","0.4366943836212158","0.4366943836212158","0.4366943836212158"
"1726","8626","8626","8626","0.2932266592979431","0.2932266592979431","0.2932266592979431"
"1730","8646","8646","8646","0.18222647905349731","0.18222647905349731","0.18222647905349731"
"1732","8656","8656","8656","0.31336772441864014","0.31336772441864014","0.31336772441864014"
"1761","8801","8801","8801","0.260720819234848","0.260720819234848","0.260720819234848"
"1771","8851","8851","8851","0.10220590233802795","0.10220590233802795","0.10220590233802795"
"1774","8866","8866","8866","0.07445596158504486","0.07445596158504486","0.07445596158504486"
"1787","8931","8931","8931","0.13936938345432281","0.13936938345432281","0.13936938345432281"
"1793","8961","8961","8961","0.12681461870670319","0.12681461870670319","0.12681461870670319"
"1798","8986","8986","8986","0.40746909379959106","0.40746909379959106","0.40746909379959106"
"1825","9121","9121","9121","0.22979143261909485","0.22979143261909485","0.22979143261909485"
"1827","9131","9131","9131","0.23967307806015015","0.23967307806015015","0.23967307806015015"
"1835","9171","9171","9171","0.28779828548431396","0.28779828548431396","0.28779828548431396"
"1857","9281","9281","9281","0.19024091958999634","0.19024091958999634","0.19024091958999634"
"1862","9306","9306","9306","0.18966016173362732","0.18966016173362732","0.18966016173362732"
"1878","9386","9386","9386","0.2164708971977234","0.2164708971977234","0.2164708971977234"
"1884","9416","9416","9416","0.19141626358032227","0.19141626358032227","0.19141626358032227"
"1889","9441","9441","9441","0.37325286865234375","0.37325286865234375","0.37325286865234375"
"1918","9586","9586","9586","0.2302546203136444","0.2302546203136444","0.2302546203136444"
"1932","9656","9656","9656","0.3228532075881958","0.3228532075881958","0.3228532075881958"
"1933","9661","9661","9661","0.14380759000778198","0.14380759000778198","0.14380759000778198"
"1951","9751","9751","9751","0.1392224133014679","0.1392224133014679","0.1392224133014679"
"1956","9776","9776","9776","0.21315087378025055","0.21315087378025055","0.21315087378025055"
"1971","9851","9851","9851","0.4162486791610718","0.4162486791610718","0.4162486791610718"
"1973","9861","9861","9861","0.3876262307167053","0.3876262307167053","0.3876262307167053"
"1984","9916","9916","9916","0.36270391941070557","0.36270391941070557","0.36270391941070557"
"1986","9926","9926","9926","0.21323421597480774","0.21323421597480774","0.21323421597480774"
"1988","9936","9936","9936","0.22189076244831085","0.22189076244831085","0.22189076244831085"
"1991","9951","9951","9951","0.2555980682373047","0.2555980682373047","0.2555980682373047"
"1996","9976","9976","9976","0.3320380449295044","0.3320380449295044","0.3320380449295044"
"2022","10106","10106","10106","0.42161792516708374","0.42161792516708374","0.42161792516708374"
"2026","10126","10126","10126","0.2766249179840088","0.2766249179840088","0.2766249179840088"
"2057","10281","10281","10281","0.14643414318561554","0.14643414318561554","0.14643414318561554"
"2067","10331","10331","10331","0.4680997133255005","0.4680997133255005","0.4680997133255005"
"2078","10386","10386","10386","0.3918789029121399","0.3918789029121399","0.3918789029121399"
"2080","10396","10396","10396","0.18562692403793335","0.18562692403793335","0.18562692403793335"
"2094","10466","10466","10466","0.20696569979190826","0.20696569979190826","0.20696569979190826"
"2113","10561","10561","10561","0.13346591591835022","0.13346591591835022","0.13346591591835022"
"2118","10586","10586","10586","0.23819991946220398","0.23819991946220398","0.23819991946220398"
"2122","10606","10606","10606","0.27998077869415283","0.27998077869415283","0.27998077869415283"
"2146","10726","10726","10726","0.058278888463974","0.058278888463974","0.058278888463974"
"2162","10806","10806","10806","0.27549153566360474","0.27549153566360474","0.27549153566360474"
"2178","10886","10886","10886","0.1801714301109314","0.1801714301109314","0.1801714301109314"
"2183","10911","10911","10911","0.45918935537338257","0.45918935537338257","0.45918935537338257"
"2197","10981","10981","10981","0.41178828477859497","0.41178828477859497","0.41178828477859497"
"2217","11081","11081","11081","0.2979978621006012","0.2979978621006012","0.2979978621006012"
"2218","11086","11086","11086","0.21038588881492615","0.21038588881492615","0.21038588881492615"
"2223","11111","11111","11111","0.2627386450767517","0.2627386450767517","0.2627386450767517"
"2240","11196","11196","11196","0.571270763874054","0.571270763874054","0.571270763874054"
"2243","11211","11211","11211","0.16650019586086273","0.16650019586086273","0.16650019586086273"
"2252","11256","11256","11256","0.15788137912750244","0.15788137912750244","0.15788137912750244"
"2255","11271","11271","11271","0.33003702759742737","0.33003702759742737","0.33003702759742737"
"2257","11281","11281","11281","0.13223637640476227","0.13223637640476227","0.13223637640476227"
"2258","11286","11286","11286","0.18181413412094116","0.18181413412094116","0.18181413412094116"
"2266","11326","11326","11326","0.1841268241405487","0.1841268241405487","0.1841268241405487"
"2285","11421","11421","11421","0.08307062089443207","0.08307062089443207","0.08307062089443207"
"2296","11476","11476","11476","0.15421947836875916","0.15421947836875916","0.15421947836875916"
"2307","11531","11531","11531","0.36080315709114075","0.36080315709114075","0.36080315709114075"
"2313","11561","11561","11561","0.17934758961200714","0.17934758961200714","0.17934758961200714"
"2321","11601","11601","11601","0.22901520133018494","0.22901520133018494","0.22901520133018494"
"2330","11646","11646","11646","0.27271023392677307","0.27271023392677307","0.27271023392677307"
"2331","11651","11651","11651","0.09120754897594452","0.09120754897594452","0.09120754897594452"
"2340","11696","11696","11696","0.31911414861679077","0.31911414861679077","0.31911414861679077"
"2353","11761","11761","11761","0.39959293603897095","0.39959293603897095","0.39959293603897095"
"2355","11771","11771","11771","0.3231108784675598","0.3231108784675598","0.3231108784675598"
"2380","11896","11896","11896","0.32513588666915894","0.32513588666915894","0.32513588666915894"
"2394","11966","11966","11966","0.09199188649654388","0.09199188649654388","0.09199188649654388"
"2404","12016","12016","12016","0.3699648082256317","0.3699648082256317","0.3699648082256317"
"2423","12111","12111","12111","0.23420345783233643","0.23420345783233643","0.23420345783233643"
"2458","12286","12286","12286","0.5136631727218628","0.5136631727218628","0.5136631727218628"
"2469","12341","12341","12341","0.48546895384788513","0.48546895384788513","0.48546895384788513"
"2476","12376","12376","12376","0.12447666376829147","0.12447666376829147","0.12447666376829147"
"2500","12496","12496","12496","0.3090020716190338","0.3090020716190338","0.3090020716190338"
"2530","12646","12646","12646","0.18448373675346375","0.18448373675346375","0.18448373675346375"
"2544","12716","12716","12716","0.12403279542922974","0.12403279542922974","0.12403279542922974"
"2546","12726","12726","12726","0.11810007691383362","0.11810007691383362","0.11810007691383362"
"2550","12746","12746","12746","0.37074607610702515","0.37074607610702515","0.37074607610702515"
"2555","12771","12771","12771","0.28354382514953613","0.28354382514953613","0.28354382514953613"
"2569","12841","12841","12841","0.2786884307861328","0.2786884307861328","0.2786884307861328"
"2574","12866","12866","12866","0.5127365589141846","0.5127365589141846","0.5127365589141846"
"2584","12916","12916","12916","0.46844932436943054","0.46844932436943054","0.46844932436943054"
"2585","12921","12921","12921","0.246311753988266","0.246311753988266","0.246311753988266"
"2586","12926","12926","12926","0.21914057433605194","0.21914057433605194","0.21914057433605194"
"2602","13006","13006","13006","0.20633089542388916","0.20633089542388916","0.20633089542388916"
"2603","13011","13011","13011","0.1353347897529602","0.1353347897529602","0.1353347897529602"
"2619","13091","13091","13091","0.24382424354553223","0.24382424354553223","0.24382424354553223"
"2621","13101","13101","13101","0.37050944566726685","0.37050944566726685","0.37050944566726685"
"2628","13136","13136","13136","0.15833918750286102","0.15833918750286102","0.15833918750286102"
"2632","13156","13156","13156","0.15079115331172943","0.15079115331172943","0.15079115331172943"
"2669","13341","13341","13341","0.17438854277133942","0.17438854277133942","0.17438854277133942"
"2693","13461","13461","13461","0.10487499833106995","0.10487499833106995","0.10487499833106995"
"2694","13466","13466","13466","0.1641574203968048","0.1641574203968048","0.1641574203968048"
"2708","13536","13536","13536","0.19395004212856293","0.19395004212856293","0.19395004212856293"
"2719","13591","13591","13591","0.12357961386442184","0.12357961386442184","0.12357961386442184"
"2742","13706","13706","13706","0.3820169270038605","0.3820169270038605","0.3820169270038605"
"2763","13811","13811","13811","0.19367629289627075","0.19367629289627075","0.19367629289627075"
"2773","13861","13861","13861","0.12910912930965424","0.12910912930965424","0.12910912930965424"
"2781","13901","13901","13901","0.2386292964220047","0.2386292964220047","0.2386292964220047"
"2807","14031","14031","14031","0.3056955933570862","0.3056955933570862","0.3056955933570862"
"2833","14161","14161","14161","0.3419078290462494","0.3419078290462494","0.3419078290462494"
"2835","14171","14171","14171","0.19582387804985046","0.19582387804985046","0.19582387804985046"
"2871","14351","14351","14351","0.3936097025871277","0.3936097025871277","0.3936097025871277"
"2894","14466","14466","14466","0.6646025776863098","0.6646025776863098","0.6646025776863098"
"2902","14506","14506","14506","0.45873385667800903","0.45873385667800903","0.45873385667800903"
"2904","14516","14516","14516","0.32020699977874756","0.32020699977874756","0.32020699977874756"
"2939","14691","14691","14691","0.3083432912826538","0.3083432912826538","0.3083432912826538"
"2945","14721","14721","14721","0.33685368299484253","0.33685368299484253","0.33685368299484253"
"2958","14786","14786","14786","0.24843163788318634","0.24843163788318634","0.24843163788318634"
"2991","14951","14951","14951","0.5374794006347656","0.5374794006347656","0.5374794006347656"
"2992","14956","14956","14956","0.20770689845085144","0.20770689845085144","0.20770689845085144"
"3000","14996","14996","14996","0.3653186559677124","0.3653186559677124","0.3653186559677124"
"3011","15051","15051","15051","0.19527524709701538","0.19527524709701538","0.19527524709701538"
"3033","15161","15161","15161","0.1615944355726242","0.1615944355726242","0.1615944355726242"
"3049","15241","15241","15241","0.07154674828052521","0.07154674828052521","0.07154674828052521"
"3052","15256","15256","15256","0.4412846565246582","0.4412846565246582","0.4412846565246582"
"3054","15266","15266","15266","0.13420933485031128","0.13420933485031128","0.13420933485031128"
"3086","15426","15426","15426","0.5008004903793335","0.5008004903793335","0.5008004903793335"
"3087","15431","15431","15431","0.23785993456840515","0.23785993456840515","0.23785993456840515"
"3088","15436","15436","15436","0.17292237281799316","0.17292237281799316","0.17292237281799316"
"3091","15451","15451","15451","0.29788193106651306","0.29788193106651306","0.29788193106651306"
"3125","15621","15621","15621","0.20357804000377655","0.20357804000377655","0.20357804000377655"
"3132","15656","15656","15656","0.21549157798290253","0.21549157798290253","0.21549157798290253"
"3143","15711","15711","15711","0.22912879288196564","0.22912879288196564","0.22912879288196564"
"3148","15736","15736","15736","0.37801456451416016","0.37801456451416016","0.37801456451416016"
"3172","15856","15856","15856","0.22528985142707825","0.22528985142707825","0.22528985142707825"
"3174","15866","15866","15866","0.17460131645202637","0.17460131645202637","0.17460131645202637"
"3176","15876","15876","15876","0.3515774607658386","0.3515774607658386","0.3515774607658386"
"3193","15961","15961","15961","0.20241880416870117","0.20241880416870117","0.20241880416870117"
"3205","16021","16021","16021","0.3093743920326233","0.3093743920326233","0.3093743920326233"
"3209","16041","16041","16041","0.17116698622703552","0.17116698622703552","0.17116698622703552"
"3224","16116","16116","16116","0.39264002442359924","0.39264002442359924","0.39264002442359924"
"3226","16126","16126","16126","0.20404702425003052","0.20404702425003052","0.20404702425003052"
"3237","16181","16181","16181","0.19802238047122955","0.19802238047122955","0.19802238047122955"
"3243","16211","16211","16211","0.17281682789325714","0.17281682789325714","0.17281682789325714"
"3289","16441","16441","16441","0.11237597465515137","0.11237597465515137","0.11237597465515137"
"3295","16471","16471","16471","0.4134325385093689","0.4134325385093689","0.4134325385093689"
"3313","16561","16561","16561","0.2658618688583374","0.2658618688583374","0.2658618688583374"
"3321","16601","16601","16601","0.19025981426239014","0.19025981426239014","0.19025981426239014"
"3325","16621","16621","16621","0.1437358558177948","0.1437358558177948","0.1437358558177948"
"3334","16666","16666","16666","0.16502420604228973","0.16502420604228973","0.16502420604228973"
"3340","16696","16696","16696","0.32010528445243835","0.32010528445243835","0.32010528445243835"
"3378","16886","16886","16886","0.2647111713886261","0.2647111713886261","0.2647111713886261"
"3390","16946","16946","16946","0.16491225361824036","0.16491225361824036","0.16491225361824036"
"3411","17051","17051","17051","0.543576717376709","0.543576717376709","0.543576717376709"
"3456","17276","17276","17276","0.2502821981906891","0.2502821981906891","0.2502821981906891"
"3487","17431","17431","17431","0.09268780052661896","0.09268780052661896","0.09268780052661896"
"3504","17516","17516","17516","0.4733261466026306","0.4733261466026306","0.4733261466026306"
"3517","17581","17581","17581","0.2299962043762207","0.2299962043762207","0.2299962043762207"
"3524","17616","17616","17616","0.26227447390556335","0.26227447390556335","0.26227447390556335"
"3532","17656","17656","17656","0.1672215759754181","0.1672215759754181","0.1672215759754181"
"3537","17681","17681","17681","0.24748510122299194","0.24748510122299194","0.24748510122299194"
"3550","17746","17746","17746","0.3182990550994873","0.3182990550994873","0.3182990550994873"
"3554","17766","17766","17766","0.23571336269378662","0.23571336269378662","0.23571336269378662"
"3560","17796","17796","17796","0.21759268641471863","0.21759268641471863","0.21759268641471863"
"3568","17836","17836","17836","0.29562532901763916","0.29562532901763916","0.29562532901763916"
"3569","17841","17841","17841","0.4129054546356201","0.4129054546356201","0.4129054546356201"
"3576","17876","17876","17876","0.15939798951148987","0.15939798951148987","0.15939798951148987"
"3585","17921","17921","17921","0.34752851724624634","0.34752851724624634","0.34752851724624634"
"3590","17946","17946","17946","0.15185798704624176","0.15185798704624176","0.15185798704624176"
"3623","18111","18111","18111","0.29112985730171204","0.29112985730171204","0.29112985730171204"
"3632","18156","18156","18156","0.2907730042934418","0.2907730042934418","0.2907730042934418"
"3643","18211","18211","18211","0.16479891538619995","0.16479891538619995","0.16479891538619995"
"3648","18236","18236","18236","0.3088657855987549","0.3088657855987549","0.3088657855987549"
"3658","18286","18286","18286","0.29465433955192566","0.29465433955192566","0.29465433955192566"
"3665","18321","18321","18321","0.19930759072303772","0.19930759072303772","0.19930759072303772"
"3672","18356","18356","18356","0.10412448644638062","0.10412448644638062","0.10412448644638062"
"3694","18466","18466","18466","0.2507387101650238","0.2507387101650238","0.2507387101650238"
"3701","18501","18501","18501","0.19170457124710083","0.19170457124710083","0.19170457124710083"
"3704","18516","18516","18516","0.19029641151428223","0.19029641151428223","0.19029641151428223"
"3706","18526","18526","18526","0.07929882407188416","0.07929882407188416","0.07929882407188416"
"3734","18666","18666","18666","0.36448532342910767","0.36448532342910767","0.36448532342910767"
"3736","18676","18676","18676","0.2885253131389618","0.2885253131389618","0.2885253131389618"
"3744","18716","18716","18716","0.38387635350227356","0.38387635350227356","0.38387635350227356"
"3747","18731","18731","18731","0.17201729118824005","0.17201729118824005","0.17201729118824005"
"3757","18781","18781","18781","0.2842194437980652","0.2842194437980652","0.2842194437980652"
"3759","18791","18791","18791","0.16515594720840454","0.16515594720840454","0.16515594720840454"
"3760","18796","18796","18796","0.09859231114387512","0.09859231114387512","0.09859231114387512"
"3772","18856","18856","18856","0.24667268991470337","0.24667268991470337","0.24667268991470337"
"3824","19116","19116","19116","0.22145520150661469","0.22145520150661469","0.22145520150661469"
"3850","19246","19246","19246","0.13309253752231598","0.13309253752231598","0.13309253752231598"
"3865","19321","19321","19321","0.24128714203834534","0.24128714203834534","0.24128714203834534"
"3878","19386","19386","19386","0.2620343565940857","0.2620343565940857","0.2620343565940857"
"3884","19416","19416","19416","0.17541801929473877","0.17541801929473877","0.17541801929473877"
"3894","19466","19466","19466","0.329717755317688","0.329717755317688","0.329717755317688"
"3903","19511","19511","19511","0.23920829594135284","0.23920829594135284","0.23920829594135284"
"3910","19546","19546","19546","0.2629181742668152","0.2629181742668152","0.2629181742668152"
"3913","19561","19561","19561","0.32419243454933167","0.32419243454933167","0.32419243454933167"
