"step","run-multi-task-debiasing-1-logit - _step","run-multi-task-debiasing-1-logit - _step__MIN","run-multi-task-debiasing-1-logit - _step__MAX","run-multi-task-debiasing-1-logit - Dwell-time loss","run-multi-task-debiasing-1-logit - Dwell-time loss__MIN","run-multi-task-debiasing-1-logit - Dwell-time loss__MAX"
"359","1793","1793","1793","0.9268277883529663","0.9268277883529663","0.9268277883529663"
"361","1803","1803","1803","1.331789255142212","1.331789255142212","1.331789255142212"
"363","1813","1813","1813","1.3084713220596313","1.3084713220596313","1.3084713220596313"
"382","1908","1908","1908","0.6216636300086975","0.6216636300086975","0.6216636300086975"
"392","1958","1958","1958","1.3921483755111694","1.3921483755111694","1.3921483755111694"
"400","1998","1998","1998","1.4137020111083984","1.4137020111083984","1.4137020111083984"
"411","2053","2053","2053","0.14527326822280884","0.14527326822280884","0.14527326822280884"
"433","2163","2163","2163","1.3919142484664917","1.3919142484664917","1.3919142484664917"
"443","2213","2213","2213","0.4360033869743347","0.4360033869743347","0.4360033869743347"
"460","2298","2298","2298","1.584652304649353","1.584652304649353","1.584652304649353"
"482","2408","2408","2408","1.0603644847869873","1.0603644847869873","1.0603644847869873"
"529","2643","2643","2643","0.5846880674362183","0.5846880674362183","0.5846880674362183"
"558","2788","2788","2788","1.0774130821228027","1.0774130821228027","1.0774130821228027"
"605","3023","3023","3023","0.9431091547012329","0.9431091547012329","0.9431091547012329"
"627","3133","3133","3133","0.29573047161102295","0.29573047161102295","0.29573047161102295"
"628","3138","3138","3138","1.0058603286743164","1.0058603286743164","1.0058603286743164"
"629","3143","3143","3143","3.9173150062561035","3.9173150062561035","3.9173150062561035"
"645","3223","3223","3223","1.2060890197753906","1.2060890197753906","1.2060890197753906"
"662","3308","3308","3308","1.982060194015503","1.982060194015503","1.982060194015503"
"671","3353","3353","3353","0.7627484202384949","0.7627484202384949","0.7627484202384949"
"678","3388","3388","3388","0.8372958302497864","0.8372958302497864","0.8372958302497864"
"686","3428","3428","3428","0.6142565011978149","0.6142565011978149","0.6142565011978149"
"688","3438","3438","3438","0.8969293832778931","0.8969293832778931","0.8969293832778931"
"705","3523","3523","3523","0.5060019493103027","0.5060019493103027","0.5060019493103027"
"706","3528","3528","3528","0.5156352519989014","0.5156352519989014","0.5156352519989014"
"711","3553","3553","3553","2.133700132369995","2.133700132369995","2.133700132369995"
"724","3618","3618","3618","0.9610012769699097","0.9610012769699097","0.9610012769699097"
"730","3648","3648","3648","1.4725888967514038","1.4725888967514038","1.4725888967514038"
"741","3703","3703","3703","0.18001587688922882","0.18001587688922882","0.18001587688922882"
"745","3723","3723","3723","0.4761803448200226","0.4761803448200226","0.4761803448200226"
"772","3858","3858","3858","0.4147210717201233","0.4147210717201233","0.4147210717201233"
"783","3913","3913","3913","0.7281908988952637","0.7281908988952637","0.7281908988952637"
"830","4148","4148","4148","0.17559295892715454","0.17559295892715454","0.17559295892715454"
"832","4158","4158","4158","0.4740251898765564","0.4740251898765564","0.4740251898765564"
"842","4208","4208","4208","0.3268275856971741","0.3268275856971741","0.3268275856971741"
"882","4408","4408","4408","0.5828563570976257","0.5828563570976257","0.5828563570976257"
"899","4493","4493","4493","1.3005074262619019","1.3005074262619019","1.3005074262619019"
"923","4613","4613","4613","0.4356690049171448","0.4356690049171448","0.4356690049171448"
"954","4768","4768","4768","0.46560412645339966","0.46560412645339966","0.46560412645339966"
"973","4863","4863","4863","0.5173345804214478","0.5173345804214478","0.5173345804214478"
"991","4953","4953","4953","0.4105367958545685","0.4105367958545685","0.4105367958545685"
"992","4958","4958","4958","0.5242345333099365","0.5242345333099365","0.5242345333099365"
"996","4978","4978","4978","1.1660258769989014","1.1660258769989014","1.1660258769989014"
"1002","5008","5008","5008","0.5427533388137817","0.5427533388137817","0.5427533388137817"
"1017","5083","5083","5083","0.7277448773384094","0.7277448773384094","0.7277448773384094"
"1020","5098","5098","5098","0.8945066928863525","0.8945066928863525","0.8945066928863525"
"1032","5158","5158","5158","1.1474475860595703","1.1474475860595703","1.1474475860595703"
"1054","5268","5268","5268","1.4247063398361206","1.4247063398361206","1.4247063398361206"
"1079","5393","5393","5393","0.19208309054374695","0.19208309054374695","0.19208309054374695"
"1097","5483","5483","5483","0.39476996660232544","0.39476996660232544","0.39476996660232544"
"1106","5528","5528","5528","2.053417444229126","2.053417444229126","2.053417444229126"
"1128","5638","5638","5638","0.762601912021637","0.762601912021637","0.762601912021637"
"1132","5658","5658","5658","0.8455710411071777","0.8455710411071777","0.8455710411071777"
"1135","5673","5673","5673","1.206735610961914","1.206735610961914","1.206735610961914"
"1139","5693","5693","5693","0.3423466682434082","0.3423466682434082","0.3423466682434082"
"1149","5743","5743","5743","0.739949107170105","0.739949107170105","0.739949107170105"
"1155","5773","5773","5773","2.0493648052215576","2.0493648052215576","2.0493648052215576"
"1167","5833","5833","5833","0.6919306516647339","0.6919306516647339","0.6919306516647339"
"1181","5903","5903","5903","0.6197628974914551","0.6197628974914551","0.6197628974914551"
"1183","5913","5913","5913","1.5859897136688232","1.5859897136688232","1.5859897136688232"
"1204","6018","6018","6018","0.24018877744674683","0.24018877744674683","0.24018877744674683"
"1211","6053","6053","6053","1.640448808670044","1.640448808670044","1.640448808670044"
"1222","6108","6108","6108","1.3755228519439697","1.3755228519439697","1.3755228519439697"
"1240","6198","6198","6198","0.3750529885292053","0.3750529885292053","0.3750529885292053"
"1249","6243","6243","6243","0.4941285252571106","0.4941285252571106","0.4941285252571106"
"1260","6298","6298","6298","0.3231903910636902","0.3231903910636902","0.3231903910636902"
"1281","6403","6403","6403","0.27783775329589844","0.27783775329589844","0.27783775329589844"
"1318","6588","6588","6588","1.7581830024719238","1.7581830024719238","1.7581830024719238"
"1326","6628","6628","6628","1.1915700435638428","1.1915700435638428","1.1915700435638428"
"1327","6633","6633","6633","0.9589800834655762","0.9589800834655762","0.9589800834655762"
"1329","6643","6643","6643","1.0807299613952637","1.0807299613952637","1.0807299613952637"
"1335","6673","6673","6673","0.9685802459716797","0.9685802459716797","0.9685802459716797"
"1342","6708","6708","6708","0.6664661765098572","0.6664661765098572","0.6664661765098572"
"1348","6738","6738","6738","1.095523476600647","1.095523476600647","1.095523476600647"
"1352","6758","6758","6758","1.3627963066101074","1.3627963066101074","1.3627963066101074"
"1368","6838","6838","6838","0.22741062939167023","0.22741062939167023","0.22741062939167023"
"1401","7003","7003","7003","0.4347248375415802","0.4347248375415802","0.4347248375415802"
"1421","7103","7103","7103","1.4353249073028564","1.4353249073028564","1.4353249073028564"
"1447","7233","7233","7233","1.4262495040893555","1.4262495040893555","1.4262495040893555"
"1464","7318","7318","7318","0.6870008707046509","0.6870008707046509","0.6870008707046509"
"1466","7328","7328","7328","1.0762351751327515","1.0762351751327515","1.0762351751327515"
"1469","7343","7343","7343","0.8236169815063477","0.8236169815063477","0.8236169815063477"
"1496","7478","7478","7478","2.4314651489257812","2.4314651489257812","2.4314651489257812"
"1500","7498","7498","7498","1.1239352226257324","1.1239352226257324","1.1239352226257324"
"1544","7718","7718","7718","1.841605544090271","1.841605544090271","1.841605544090271"
"1545","7723","7723","7723","0.6842747926712036","0.6842747926712036","0.6842747926712036"
"1549","7743","7743","7743","0.6314932703971863","0.6314932703971863","0.6314932703971863"
"1561","7803","7803","7803","0.5811692476272583","0.5811692476272583","0.5811692476272583"
"1581","7903","7903","7903","0.39992836117744446","0.39992836117744446","0.39992836117744446"
"1593","7963","7963","7963","1.2959437370300293","1.2959437370300293","1.2959437370300293"
"1604","8018","8018","8018","1.5305509567260742","1.5305509567260742","1.5305509567260742"
"1605","8023","8023","8023","2.3920257091522217","2.3920257091522217","2.3920257091522217"
"1614","8068","8068","8068","0.5370017290115356","0.5370017290115356","0.5370017290115356"
"1629","8143","8143","8143","0.6915355920791626","0.6915355920791626","0.6915355920791626"
"1645","8223","8223","8223","1.2405526638031006","1.2405526638031006","1.2405526638031006"
"1662","8308","8308","8308","2.0826704502105713","2.0826704502105713","2.0826704502105713"
"1700","8498","8498","8498","0.5624955296516418","0.5624955296516418","0.5624955296516418"
"1711","8553","8553","8553","0.3884704113006592","0.3884704113006592","0.3884704113006592"
"1736","8678","8678","8678","0.5964550971984863","0.5964550971984863","0.5964550971984863"
"1737","8683","8683","8683","1.6563692092895508","1.6563692092895508","1.6563692092895508"
"1744","8718","8718","8718","1.0610096454620361","1.0610096454620361","1.0610096454620361"
"1765","8823","8823","8823","0.7158182859420776","0.7158182859420776","0.7158182859420776"
"1798","8988","8988","8988","0.9193629622459412","0.9193629622459412","0.9193629622459412"
"1799","8993","8993","8993","0.859044075012207","0.859044075012207","0.859044075012207"
"1829","9143","9143","9143","0.9881750345230103","0.9881750345230103","0.9881750345230103"
"1830","9148","9148","9148","1.0646730661392212","1.0646730661392212","1.0646730661392212"
"1834","9168","9168","9168","1.2112215757369995","1.2112215757369995","1.2112215757369995"
"1857","9283","9283","9283","0.8962224125862122","0.8962224125862122","0.8962224125862122"
"1860","9298","9298","9298","0.7623090744018555","0.7623090744018555","0.7623090744018555"
"1863","9313","9313","9313","0.4057803750038147","0.4057803750038147","0.4057803750038147"
"1876","9378","9378","9378","0.9536848068237305","0.9536848068237305","0.9536848068237305"
"1890","9448","9448","9448","0.5092437267303467","0.5092437267303467","0.5092437267303467"
"1941","9703","9703","9703","0.6222743988037109","0.6222743988037109","0.6222743988037109"
"1964","9818","9818","9818","2.006549119949341","2.006549119949341","2.006549119949341"
"1979","9893","9893","9893","0.858635663986206","0.858635663986206","0.858635663986206"
"2004","10018","10018","10018","0.46831706166267395","0.46831706166267395","0.46831706166267395"
"2021","10103","10103","10103","0.608528733253479","0.608528733253479","0.608528733253479"
"2025","10123","10123","10123","1.0053499937057495","1.0053499937057495","1.0053499937057495"
"2041","10203","10203","10203","0.9908940196037292","0.9908940196037292","0.9908940196037292"
"2044","10218","10218","10218","0.6451415419578552","0.6451415419578552","0.6451415419578552"
"2060","10298","10298","10298","0.5947687029838562","0.5947687029838562","0.5947687029838562"
"2063","10313","10313","10313","1.116465449333191","1.116465449333191","1.116465449333191"
"2072","10358","10358","10358","1.7817127704620361","1.7817127704620361","1.7817127704620361"
"2103","10513","10513","10513","1.2703590393066406","1.2703590393066406","1.2703590393066406"
"2108","10538","10538","10538","0.22873035073280334","0.22873035073280334","0.22873035073280334"
"2122","10608","10608","10608","1.0805747509002686","1.0805747509002686","1.0805747509002686"
"2129","10643","10643","10643","1.7962729930877686","1.7962729930877686","1.7962729930877686"
"2142","10708","10708","10708","0.6917380094528198","0.6917380094528198","0.6917380094528198"
"2144","10718","10718","10718","0.19124938547611237","0.19124938547611237","0.19124938547611237"
"2146","10728","10728","10728","0.09744837880134583","0.09744837880134583","0.09744837880134583"
"2153","10763","10763","10763","0.7631399035453796","0.7631399035453796","0.7631399035453796"
"2158","10788","10788","10788","1.0067957639694214","1.0067957639694214","1.0067957639694214"
"2166","10828","10828","10828","1.1692965030670166","1.1692965030670166","1.1692965030670166"
"2172","10858","10858","10858","0.17155814170837402","0.17155814170837402","0.17155814170837402"
"2178","10888","10888","10888","0.5325653553009033","0.5325653553009033","0.5325653553009033"
"2196","10978","10978","10978","0.49530619382858276","0.49530619382858276","0.49530619382858276"
"2197","10983","10983","10983","0.40135228633880615","0.40135228633880615","0.40135228633880615"
"2198","10988","10988","10988","0.6148425340652466","0.6148425340652466","0.6148425340652466"
"2207","11033","11033","11033","1.3730738162994385","1.3730738162994385","1.3730738162994385"
"2250","11248","11248","11248","0.43400758504867554","0.43400758504867554","0.43400758504867554"
"2257","11283","11283","11283","0.40294086933135986","0.40294086933135986","0.40294086933135986"
"2272","11358","11358","11358","0.700743556022644","0.700743556022644","0.700743556022644"
"2280","11398","11398","11398","0.4805006980895996","0.4805006980895996","0.4805006980895996"
"2334","11668","11668","11668","0.8838653564453125","0.8838653564453125","0.8838653564453125"
"2337","11683","11683","11683","0.7801077961921692","0.7801077961921692","0.7801077961921692"
"2364","11818","11818","11818","0.6113143563270569","0.6113143563270569","0.6113143563270569"
"2375","11873","11873","11873","0.5534698963165283","0.5534698963165283","0.5534698963165283"
"2380","11898","11898","11898","0.7595434784889221","0.7595434784889221","0.7595434784889221"
"2381","11903","11903","11903","0.605701208114624","0.605701208114624","0.605701208114624"
"2393","11963","11963","11963","0.8269354104995728","0.8269354104995728","0.8269354104995728"
"2404","12018","12018","12018","1.3048737049102783","1.3048737049102783","1.3048737049102783"
"2407","12033","12033","12033","0.3484193682670593","0.3484193682670593","0.3484193682670593"
"2432","12158","12158","12158","0.41871127486228943","0.41871127486228943","0.41871127486228943"
"2462","12308","12308","12308","0.888676106929779","0.888676106929779","0.888676106929779"
"2524","12618","12618","12618","1.200371503829956","1.200371503829956","1.200371503829956"
"2528","12638","12638","12638","0.7479256391525269","0.7479256391525269","0.7479256391525269"
"2532","12658","12658","12658","2.473639965057373","2.473639965057373","2.473639965057373"
"2550","12748","12748","12748","1.2950568199157715","1.2950568199157715","1.2950568199157715"
"2573","12863","12863","12863","0.472378134727478","0.472378134727478","0.472378134727478"
"2578","12888","12888","12888","0.7645706534385681","0.7645706534385681","0.7645706534385681"
"2599","12993","12993","12993","0.6420636773109436","0.6420636773109436","0.6420636773109436"
"2609","13043","13043","13043","1.7928924560546875","1.7928924560546875","1.7928924560546875"
"2618","13088","13088","13088","0.893578290939331","0.893578290939331","0.893578290939331"
"2620","13098","13098","13098","0.09388930350542068","0.09388930350542068","0.09388930350542068"
"2645","13223","13223","13223","1.4272476434707642","1.4272476434707642","1.4272476434707642"
"2664","13318","13318","13318","0.47721660137176514","0.47721660137176514","0.47721660137176514"
"2676","13378","13378","13378","1.930945873260498","1.930945873260498","1.930945873260498"
"2679","13393","13393","13393","0.476207435131073","0.476207435131073","0.476207435131073"
"2725","13623","13623","13623","0.47680649161338806","0.47680649161338806","0.47680649161338806"
"2749","13743","13743","13743","0.9101932644844055","0.9101932644844055","0.9101932644844055"
"2797","13983","13983","13983","1.8203059434890747","1.8203059434890747","1.8203059434890747"
"2813","14063","14063","14063","0.8515462875366211","0.8515462875366211","0.8515462875366211"
"2827","14133","14133","14133","1.576907992362976","1.576907992362976","1.576907992362976"
"2856","14278","14278","14278","1.0453460216522217","1.0453460216522217","1.0453460216522217"
"2873","14363","14363","14363","0.6792916655540466","0.6792916655540466","0.6792916655540466"
"2876","14378","14378","14378","0.5595800876617432","0.5595800876617432","0.5595800876617432"
"2890","14448","14448","14448","0.47328469157218933","0.47328469157218933","0.47328469157218933"
"2899","14493","14493","14493","1.1339538097381592","1.1339538097381592","1.1339538097381592"
"2917","14583","14583","14583","1.5017496347427368","1.5017496347427368","1.5017496347427368"
"2931","14653","14653","14653","0.7929593920707703","0.7929593920707703","0.7929593920707703"
"2938","14688","14688","14688","0.9158443808555603","0.9158443808555603","0.9158443808555603"
"2964","14818","14818","14818","1.0045944452285767","1.0045944452285767","1.0045944452285767"
"2973","14863","14863","14863","0.6074260473251343","0.6074260473251343","0.6074260473251343"
"2977","14883","14883","14883","2.3898401260375977","2.3898401260375977","2.3898401260375977"
"3000","14998","14998","14998","1.0808109045028687","1.0808109045028687","1.0808109045028687"
"3006","15028","15028","15028","0.7076045274734497","0.7076045274734497","0.7076045274734497"
"3023","15113","15113","15113","0.9371463060379028","0.9371463060379028","0.9371463060379028"
"3024","15118","15118","15118","1.423910140991211","1.423910140991211","1.423910140991211"
"3034","15168","15168","15168","0.7429827451705933","0.7429827451705933","0.7429827451705933"
"3055","15273","15273","15273","0.84965580701828","0.84965580701828","0.84965580701828"
"3060","15298","15298","15298","0.22951708734035492","0.22951708734035492","0.22951708734035492"
"3080","15398","15398","15398","0.25422126054763794","0.25422126054763794","0.25422126054763794"
"3088","15438","15438","15438","0.8470945358276367","0.8470945358276367","0.8470945358276367"
"3117","15583","15583","15583","1.239071249961853","1.239071249961853","1.239071249961853"
"3123","15613","15613","15613","0.18088100850582123","0.18088100850582123","0.18088100850582123"
"3161","15803","15803","15803","0.6391274929046631","0.6391274929046631","0.6391274929046631"
"3209","16043","16043","16043","0.17301885783672333","0.17301885783672333","0.17301885783672333"
"3212","16058","16058","16058","0.981399416923523","0.981399416923523","0.981399416923523"
"3213","16063","16063","16063","0.16522200405597687","0.16522200405597687","0.16522200405597687"
"3244","16218","16218","16218","0.6626887917518616","0.6626887917518616","0.6626887917518616"
"3271","16353","16353","16353","0.19144627451896667","0.19144627451896667","0.19144627451896667"
"3274","16368","16368","16368","0.6823552250862122","0.6823552250862122","0.6823552250862122"
"3278","16388","16388","16388","0.8847242593765259","0.8847242593765259","0.8847242593765259"
"3283","16413","16413","16413","0.46618399024009705","0.46618399024009705","0.46618399024009705"
"3291","16453","16453","16453","1.7203539609909058","1.7203539609909058","1.7203539609909058"
"3303","16513","16513","16513","0.19217362999916077","0.19217362999916077","0.19217362999916077"
"3315","16573","16573","16573","0.8124234676361084","0.8124234676361084","0.8124234676361084"
"3322","16608","16608","16608","0.9580572843551636","0.9580572843551636","0.9580572843551636"
"3363","16813","16813","16813","0.8334476947784424","0.8334476947784424","0.8334476947784424"
"3372","16858","16858","16858","0.961540937423706","0.961540937423706","0.961540937423706"
"3380","16898","16898","16898","1.129402995109558","1.129402995109558","1.129402995109558"
"3383","16913","16913","16913","0.8856678009033203","0.8856678009033203","0.8856678009033203"
"3385","16923","16923","16923","1.072257399559021","1.072257399559021","1.072257399559021"
"3392","16958","16958","16958","0.6914185285568237","0.6914185285568237","0.6914185285568237"
"3404","17018","17018","17018","1.1060500144958496","1.1060500144958496","1.1060500144958496"
"3409","17043","17043","17043","1.5879921913146973","1.5879921913146973","1.5879921913146973"
"3429","17143","17143","17143","0.7084607481956482","0.7084607481956482","0.7084607481956482"
"3436","17178","17178","17178","0.37679004669189453","0.37679004669189453","0.37679004669189453"
"3450","17248","17248","17248","1.4985883235931396","1.4985883235931396","1.4985883235931396"
"3453","17263","17263","17263","0.535121500492096","0.535121500492096","0.535121500492096"
"3481","17403","17403","17403","1.293591856956482","1.293591856956482","1.293591856956482"
"3492","17458","17458","17458","0.14197243750095367","0.14197243750095367","0.14197243750095367"
"3494","17468","17468","17468","0.6951771974563599","0.6951771974563599","0.6951771974563599"
"3495","17473","17473","17473","1.494518518447876","1.494518518447876","1.494518518447876"
"3503","17513","17513","17513","0.325565367937088","0.325565367937088","0.325565367937088"
"3527","17633","17633","17633","0.2942531704902649","0.2942531704902649","0.2942531704902649"
"3539","17693","17693","17693","1.1677087545394897","1.1677087545394897","1.1677087545394897"
"3549","17743","17743","17743","1.0250647068023682","1.0250647068023682","1.0250647068023682"
"3550","17748","17748","17748","1.2457382678985596","1.2457382678985596","1.2457382678985596"
"3563","17813","17813","17813","0.31456267833709717","0.31456267833709717","0.31456267833709717"
"3576","17878","17878","17878","0.2422352433204651","0.2422352433204651","0.2422352433204651"
"3579","17893","17893","17893","0.5082276463508606","0.5082276463508606","0.5082276463508606"
"3587","17933","17933","17933","0.20108939707279205","0.20108939707279205","0.20108939707279205"
"3614","18068","18068","18068","2.5500922203063965","2.5500922203063965","2.5500922203063965"
"3638","18188","18188","18188","0.5373678207397461","0.5373678207397461","0.5373678207397461"
"3647","18233","18233","18233","0.4120609760284424","0.4120609760284424","0.4120609760284424"
"3671","18353","18353","18353","0.29624009132385254","0.29624009132385254","0.29624009132385254"
"3673","18363","18363","18363","2.5125246047973633","2.5125246047973633","2.5125246047973633"
"3675","18373","18373","18373","1.0148429870605469","1.0148429870605469","1.0148429870605469"
"3680","18398","18398","18398","0.8456659317016602","0.8456659317016602","0.8456659317016602"
"3695","18473","18473","18473","0.7312085628509521","0.7312085628509521","0.7312085628509521"
"3719","18593","18593","18593","2.672722578048706","2.672722578048706","2.672722578048706"
"3732","18658","18658","18658","0.2742908000946045","0.2742908000946045","0.2742908000946045"
"3752","18758","18758","18758","0.2232249677181244","0.2232249677181244","0.2232249677181244"
"3776","18878","18878","18878","0.456116259098053","0.456116259098053","0.456116259098053"
"3777","18883","18883","18883","0.4150370657444","0.4150370657444","0.4150370657444"
"3795","18973","18973","18973","0.33822986483573914","0.33822986483573914","0.33822986483573914"
"3798","18988","18988","18988","0.7582430839538574","0.7582430839538574","0.7582430839538574"
"3810","19048","19048","19048","0.5359045267105103","0.5359045267105103","0.5359045267105103"
"3812","19058","19058","19058","1.6029648780822754","1.6029648780822754","1.6029648780822754"
"3813","19063","19063","19063","0.9617510437965393","0.9617510437965393","0.9617510437965393"
"3821","19103","19103","19103","0.1893397569656372","0.1893397569656372","0.1893397569656372"
"3842","19208","19208","19208","0.5989632606506348","0.5989632606506348","0.5989632606506348"
"3868","19338","19338","19338","0.2665337324142456","0.2665337324142456","0.2665337324142456"
"3881","19403","19403","19403","0.7316184043884277","0.7316184043884277","0.7316184043884277"
"3892","19458","19458","19458","0.5416311025619507","0.5416311025619507","0.5416311025619507"
"3918","19588","19588","19588","0.9186971187591553","0.9186971187591553","0.9186971187591553"
"3928","19638","19638","19638","0.6013766527175903","0.6013766527175903","0.6013766527175903"
"3942","19708","19708","19708","0.6623159646987915","0.6623159646987915","0.6623159646987915"
"3948","19738","19738","19738","0.7626982927322388","0.7626982927322388","0.7626982927322388"
"3950","19748","19748","19748","1.0011346340179443","1.0011346340179443","1.0011346340179443"
"3955","19773","19773","19773","1.032370924949646","1.032370924949646","1.032370924949646"
"3981","19903","19903","19903","1.0173838138580322","1.0173838138580322","1.0173838138580322"
"3986","19928","19928","19928","0.5611202716827393","0.5611202716827393","0.5611202716827393"
"3991","19953","19953","19953","0.33480238914489746","0.33480238914489746","0.33480238914489746"
"4001","20003","20003","20003","0.14728927612304688","0.14728927612304688","0.14728927612304688"
"4028","20138","20138","20138","1.6293730735778809","1.6293730735778809","1.6293730735778809"
"4049","20243","20243","20243","0.2490803301334381","0.2490803301334381","0.2490803301334381"
"4050","20248","20248","20248","1.697483777999878","1.697483777999878","1.697483777999878"
"4068","20338","20338","20338","1.3582429885864258","1.3582429885864258","1.3582429885864258"
"4080","20398","20398","20398","0.662091851234436","0.662091851234436","0.662091851234436"
"4086","20428","20428","20428","0.8994207382202148","0.8994207382202148","0.8994207382202148"
"4115","20573","20573","20573","0.4880251884460449","0.4880251884460449","0.4880251884460449"
"4158","20788","20788","20788","0.14749304950237274","0.14749304950237274","0.14749304950237274"
"4165","20823","20823","20823","0.38260596990585327","0.38260596990585327","0.38260596990585327"
"4172","20858","20858","20858","0.584195613861084","0.584195613861084","0.584195613861084"
"4189","20943","20943","20943","0.5169863104820251","0.5169863104820251","0.5169863104820251"
"4198","20988","20988","20988","0.21357807517051697","0.21357807517051697","0.21357807517051697"
"4200","20998","20998","20998","0.2671508193016052","0.2671508193016052","0.2671508193016052"
"4207","21033","21033","21033","0.6418789625167847","0.6418789625167847","0.6418789625167847"
"4213","21063","21063","21063","0.5019459128379822","0.5019459128379822","0.5019459128379822"
"4229","21143","21143","21143","0.37882187962532043","0.37882187962532043","0.37882187962532043"
"4237","21183","21183","21183","0.08330456912517548","0.08330456912517548","0.08330456912517548"
"4240","21198","21198","21198","1.7810734510421753","1.7810734510421753","1.7810734510421753"
"4250","21248","21248","21248","0.8171440362930298","0.8171440362930298","0.8171440362930298"
"4256","21278","21278","21278","0.5033911466598511","0.5033911466598511","0.5033911466598511"
"4261","21303","21303","21303","0.8236750364303589","0.8236750364303589","0.8236750364303589"
"4269","21343","21343","21343","1.1521317958831787","1.1521317958831787","1.1521317958831787"
"4273","21363","21363","21363","0.8923888802528381","0.8923888802528381","0.8923888802528381"
"4288","21438","21438","21438","0.24996793270111084","0.24996793270111084","0.24996793270111084"
"4308","21538","21538","21538","0.5428298115730286","0.5428298115730286","0.5428298115730286"
"4363","21813","21813","21813","0.14458702504634857","0.14458702504634857","0.14458702504634857"
"4371","21853","21853","21853","0.3322983384132385","0.3322983384132385","0.3322983384132385"
"4377","21883","21883","21883","1.7207595109939575","1.7207595109939575","1.7207595109939575"
"4391","21953","21953","21953","0.23860886693000793","0.23860886693000793","0.23860886693000793"
"4413","22063","22063","22063","0.18358029425144196","0.18358029425144196","0.18358029425144196"
"4419","22093","22093","22093","0.6282729506492615","0.6282729506492615","0.6282729506492615"
"4422","22108","22108","22108","0.33512499928474426","0.33512499928474426","0.33512499928474426"
"4429","22143","22143","22143","1.9923851490020752","1.9923851490020752","1.9923851490020752"
"4433","22163","22163","22163","0.6628891229629517","0.6628891229629517","0.6628891229629517"
"4439","22193","22193","22193","1.5517715215682983","1.5517715215682983","1.5517715215682983"
"4442","22208","22208","22208","1.12996506690979","1.12996506690979","1.12996506690979"
"4463","22313","22313","22313","0.5373289585113525","0.5373289585113525","0.5373289585113525"
"4468","22338","22338","22338","0.9406613111495972","0.9406613111495972","0.9406613111495972"
"4471","22353","22353","22353","0.47274070978164673","0.47274070978164673","0.47274070978164673"
"4475","22373","22373","22373","0.20887205004692078","0.20887205004692078","0.20887205004692078"
"4477","22383","22383","22383","0.8700056076049805","0.8700056076049805","0.8700056076049805"
"4490","22448","22448","22448","0.4340791404247284","0.4340791404247284","0.4340791404247284"
"4500","22498","22498","22498","0.5392917394638062","0.5392917394638062","0.5392917394638062"
"4508","22538","22538","22538","0.1661316454410553","0.1661316454410553","0.1661316454410553"
"4543","22713","22713","22713","0.10362143814563751","0.10362143814563751","0.10362143814563751"
"4553","22763","22763","22763","1.4144099950790405","1.4144099950790405","1.4144099950790405"
"4555","22773","22773","22773","0.5118682384490967","0.5118682384490967","0.5118682384490967"
