"step","run-multi-task-debiasing-separate-logits - _step","run-multi-task-debiasing-separate-logits - _step__MIN","run-multi-task-debiasing-separate-logits - _step__MAX","run-multi-task-debiasing-separate-logits - Dwell-time loss","run-multi-task-debiasing-separate-logits - Dwell-time loss__MIN","run-multi-task-debiasing-separate-logits - Dwell-time loss__MAX"
"974","4868","4868","4868","2.2462472915649414","2.2462472915649414","2.2462472915649414"
"993","4963","4963","4963","2.17673921585083","2.17673921585083","2.17673921585083"
"995","4973","4973","4973","0.8259990215301514","0.8259990215301514","0.8259990215301514"
"999","4993","4993","4993","1.79237699508667","1.79237699508667","1.79237699508667"
"1009","5043","5043","5043","1.5613126754760742","1.5613126754760742","1.5613126754760742"
"1010","5048","5048","5048","2.2231791019439697","2.2231791019439697","2.2231791019439697"
"1044","5218","5218","5218","1.6675596237182617","1.6675596237182617","1.6675596237182617"
"1052","5258","5258","5258","2.2696971893310547","2.2696971893310547","2.2696971893310547"
"1057","5283","5283","5283","1.1941182613372803","1.1941182613372803","1.1941182613372803"
"1058","5288","5288","5288","1.4376888275146484","1.4376888275146484","1.4376888275146484"
"1124","5618","5618","5618","2.512629985809326","2.512629985809326","2.512629985809326"
"1130","5648","5648","5648","1.3534209728240967","1.3534209728240967","1.3534209728240967"
"1140","5698","5698","5698","1.0645312070846558","1.0645312070846558","1.0645312070846558"
"1164","5818","5818","5818","1.5378947257995605","1.5378947257995605","1.5378947257995605"
"1182","5908","5908","5908","1.0314124822616577","1.0314124822616577","1.0314124822616577"
"1188","5938","5938","5938","2.278289794921875","2.278289794921875","2.278289794921875"
"1196","5978","5978","5978","2.271958112716675","2.271958112716675","2.271958112716675"
"1198","5988","5988","5988","0.7749862670898438","0.7749862670898438","0.7749862670898438"
"1225","6123","6123","6123","4.364755153656006","4.364755153656006","4.364755153656006"
"1232","6158","6158","6158","1.83607017993927","1.83607017993927","1.83607017993927"
"1246","6228","6228","6228","2.0167152881622314","2.0167152881622314","2.0167152881622314"
"1284","6418","6418","6418","1.747713327407837","1.747713327407837","1.747713327407837"
"1330","6648","6648","6648","1.5194854736328125","1.5194854736328125","1.5194854736328125"
"1380","6898","6898","6898","1.644357681274414","1.644357681274414","1.644357681274414"
"1398","6988","6988","6988","1.304469108581543","1.304469108581543","1.304469108581543"
"1402","7008","7008","7008","1.1181724071502686","1.1181724071502686","1.1181724071502686"
"1417","7083","7083","7083","2.0600969791412354","2.0600969791412354","2.0600969791412354"
"1418","7088","7088","7088","3.387131690979004","3.387131690979004","3.387131690979004"
"1440","7198","7198","7198","1.0024638175964355","1.0024638175964355","1.0024638175964355"
"1453","7263","7263","7263","1.5221294164657593","1.5221294164657593","1.5221294164657593"
"1458","7288","7288","7288","1.8581924438476562","1.8581924438476562","1.8581924438476562"
"1463","7313","7313","7313","1.400458574295044","1.400458574295044","1.400458574295044"
"1476","7378","7378","7378","1.8218684196472168","1.8218684196472168","1.8218684196472168"
"1485","7423","7423","7423","2.822598457336426","2.822598457336426","2.822598457336426"
"1491","7453","7453","7453","1.6526288986206055","1.6526288986206055","1.6526288986206055"
"1506","7528","7528","7528","1.7208198308944702","1.7208198308944702","1.7208198308944702"
"1523","7613","7613","7613","1.8355681896209717","1.8355681896209717","1.8355681896209717"
"1524","7618","7618","7618","1.7799057960510254","1.7799057960510254","1.7799057960510254"
"1540","7698","7698","7698","1.4905178546905518","1.4905178546905518","1.4905178546905518"
"1543","7713","7713","7713","0.8982342481613159","0.8982342481613159","0.8982342481613159"
"1551","7753","7753","7753","1.3331918716430664","1.3331918716430664","1.3331918716430664"
"1566","7828","7828","7828","1.1545467376708984","1.1545467376708984","1.1545467376708984"
"1579","7893","7893","7893","1.2679829597473145","1.2679829597473145","1.2679829597473145"
"1582","7908","7908","7908","3.9339373111724854","3.9339373111724854","3.9339373111724854"
"1584","7918","7918","7918","1.3226828575134277","1.3226828575134277","1.3226828575134277"
"1589","7943","7943","7943","2.1890573501586914","2.1890573501586914","2.1890573501586914"
"1607","8033","8033","8033","2.0384652614593506","2.0384652614593506","2.0384652614593506"
"1612","8058","8058","8058","1.6146830320358276","1.6146830320358276","1.6146830320358276"
"1614","8068","8068","8068","1.2219105958938599","1.2219105958938599","1.2219105958938599"
"1624","8118","8118","8118","1.480288028717041","1.480288028717041","1.480288028717041"
"1625","8123","8123","8123","1.3635525703430176","1.3635525703430176","1.3635525703430176"
"1627","8133","8133","8133","0.7577016949653625","0.7577016949653625","0.7577016949653625"
"1634","8168","8168","8168","2.3952744007110596","2.3952744007110596","2.3952744007110596"
"1659","8293","8293","8293","1.607016921043396","1.607016921043396","1.607016921043396"
"1667","8333","8333","8333","1.201918363571167","1.201918363571167","1.201918363571167"
"1685","8423","8423","8423","2.198132276535034","2.198132276535034","2.198132276535034"
"1688","8438","8438","8438","1.6023054122924805","1.6023054122924805","1.6023054122924805"
"1693","8463","8463","8463","1.5652029514312744","1.5652029514312744","1.5652029514312744"
"1717","8583","8583","8583","1.459885597229004","1.459885597229004","1.459885597229004"
"1718","8588","8588","8588","1.8757357597351074","1.8757357597351074","1.8757357597351074"
"1719","8593","8593","8593","2.01025128364563","2.01025128364563","2.01025128364563"
"1725","8623","8623","8623","1.420352816581726","1.420352816581726","1.420352816581726"
"1736","8678","8678","8678","1.4520639181137085","1.4520639181137085","1.4520639181137085"
"1753","8763","8763","8763","0.9935780763626099","0.9935780763626099","0.9935780763626099"
"1765","8823","8823","8823","1.2914263010025024","1.2914263010025024","1.2914263010025024"
"1767","8833","8833","8833","1.0544835329055786","1.0544835329055786","1.0544835329055786"
"1769","8843","8843","8843","1.4112138748168945","1.4112138748168945","1.4112138748168945"
"1772","8858","8858","8858","0.9015551805496216","0.9015551805496216","0.9015551805496216"
"1775","8873","8873","8873","1.2067623138427734","1.2067623138427734","1.2067623138427734"
"1793","8963","8963","8963","0.9837733507156372","0.9837733507156372","0.9837733507156372"
"1804","9018","9018","9018","0.7833802700042725","0.7833802700042725","0.7833802700042725"
"1808","9038","9038","9038","1.0550981760025024","1.0550981760025024","1.0550981760025024"
"1829","9143","9143","9143","1.9946993589401245","1.9946993589401245","1.9946993589401245"
"1854","9268","9268","9268","2.0825817584991455","2.0825817584991455","2.0825817584991455"
"1863","9313","9313","9313","0.7868720293045044","0.7868720293045044","0.7868720293045044"
"1869","9343","9343","9343","1.9151660203933716","1.9151660203933716","1.9151660203933716"
"1873","9363","9363","9363","0.9260379076004028","0.9260379076004028","0.9260379076004028"
"1875","9373","9373","9373","1.3385920524597168","1.3385920524597168","1.3385920524597168"
"1896","9478","9478","9478","0.7058509588241577","0.7058509588241577","0.7058509588241577"
"1898","9488","9488","9488","0.6543846130371094","0.6543846130371094","0.6543846130371094"
"1905","9523","9523","9523","1.9800822734832764","1.9800822734832764","1.9800822734832764"
"1908","9538","9538","9538","1.8765560388565063","1.8765560388565063","1.8765560388565063"
"1916","9578","9578","9578","2.607625722885132","2.607625722885132","2.607625722885132"
"1994","9968","9968","9968","1.3520395755767822","1.3520395755767822","1.3520395755767822"
"2009","10043","10043","10043","1.3966329097747803","1.3966329097747803","1.3966329097747803"
"2011","10053","10053","10053","1.0090694427490234","1.0090694427490234","1.0090694427490234"
"2018","10088","10088","10088","1.984871745109558","1.984871745109558","1.984871745109558"
"2037","10183","10183","10183","2.2192909717559814","2.2192909717559814","2.2192909717559814"
"2044","10218","10218","10218","1.2699443101882935","1.2699443101882935","1.2699443101882935"
"2047","10233","10233","10233","1.3953046798706055","1.3953046798706055","1.3953046798706055"
"2054","10268","10268","10268","0.9247167110443115","0.9247167110443115","0.9247167110443115"
"2076","10378","10378","10378","0.7835259437561035","0.7835259437561035","0.7835259437561035"
"2088","10438","10438","10438","1.0167162418365479","1.0167162418365479","1.0167162418365479"
"2095","10473","10473","10473","2.7356033325195312","2.7356033325195312","2.7356033325195312"
"2101","10503","10503","10503","0.9548036456108093","0.9548036456108093","0.9548036456108093"
"2109","10543","10543","10543","1.079580307006836","1.079580307006836","1.079580307006836"
"2110","10548","10548","10548","0.7079193592071533","0.7079193592071533","0.7079193592071533"
"2129","10643","10643","10643","2.223973274230957","2.223973274230957","2.223973274230957"
"2145","10723","10723","10723","0.8937559127807617","0.8937559127807617","0.8937559127807617"
"2146","10728","10728","10728","0.6967804431915283","0.6967804431915283","0.6967804431915283"
"2154","10768","10768","10768","1.1659934520721436","1.1659934520721436","1.1659934520721436"
"2185","10923","10923","10923","2.120732307434082","2.120732307434082","2.120732307434082"
"2205","11023","11023","11023","1.2182154655456543","1.2182154655456543","1.2182154655456543"
"2224","11118","11118","11118","1.9067134857177734","1.9067134857177734","1.9067134857177734"
"2237","11183","11183","11183","1.3094632625579834","1.3094632625579834","1.3094632625579834"
"2241","11203","11203","11203","2.692354679107666","2.692354679107666","2.692354679107666"
"2254","11268","11268","11268","1.8286099433898926","1.8286099433898926","1.8286099433898926"
"2258","11288","11288","11288","0.8161875009536743","0.8161875009536743","0.8161875009536743"
"2273","11363","11363","11363","1.5051319599151611","1.5051319599151611","1.5051319599151611"
"2309","11543","11543","11543","0.8533666133880615","0.8533666133880615","0.8533666133880615"
"2321","11603","11603","11603","0.8653993606567383","0.8653993606567383","0.8653993606567383"
"2351","11753","11753","11753","1.5546996593475342","1.5546996593475342","1.5546996593475342"
"2352","11758","11758","11758","1.0288641452789307","1.0288641452789307","1.0288641452789307"
"2359","11793","11793","11793","0.6898974180221558","0.6898974180221558","0.6898974180221558"
"2378","11888","11888","11888","1.6578153371810913","1.6578153371810913","1.6578153371810913"
"2379","11893","11893","11893","2.4428696632385254","2.4428696632385254","2.4428696632385254"
"2387","11933","11933","11933","2.0702786445617676","2.0702786445617676","2.0702786445617676"
"2391","11953","11953","11953","1.1950690746307373","1.1950690746307373","1.1950690746307373"
"2392","11958","11958","11958","2.3968567848205566","2.3968567848205566","2.3968567848205566"
"2408","12038","12038","12038","1.1191259622573853","1.1191259622573853","1.1191259622573853"
"2421","12103","12103","12103","0.9095966815948486","0.9095966815948486","0.9095966815948486"
"2422","12108","12108","12108","1.8134664297103882","1.8134664297103882","1.8134664297103882"
"2437","12183","12183","12183","0.9948127269744873","0.9948127269744873","0.9948127269744873"
"2447","12233","12233","12233","1.2417097091674805","1.2417097091674805","1.2417097091674805"
"2466","12328","12328","12328","1.5049147605895996","1.5049147605895996","1.5049147605895996"
"2472","12358","12358","12358","1.3249690532684326","1.3249690532684326","1.3249690532684326"
"2503","12513","12513","12513","0.980146050453186","0.980146050453186","0.980146050453186"
"2528","12638","12638","12638","1.1217002868652344","1.1217002868652344","1.1217002868652344"
"2533","12663","12663","12663","0.7358237504959106","0.7358237504959106","0.7358237504959106"
"2536","12678","12678","12678","1.2666629552841187","1.2666629552841187","1.2666629552841187"
"2541","12703","12703","12703","1.2342009544372559","1.2342009544372559","1.2342009544372559"
"2557","12783","12783","12783","1.4744102954864502","1.4744102954864502","1.4744102954864502"
"2592","12958","12958","12958","1.2049894332885742","1.2049894332885742","1.2049894332885742"
"2607","13033","13033","13033","1.0247514247894287","1.0247514247894287","1.0247514247894287"
"2609","13043","13043","13043","2.729315996170044","2.729315996170044","2.729315996170044"
"2616","13078","13078","13078","0.893424928188324","0.893424928188324","0.893424928188324"
"2619","13093","13093","13093","3.179832935333252","3.179832935333252","3.179832935333252"
"2629","13143","13143","13143","1.2456331253051758","1.2456331253051758","1.2456331253051758"
"2635","13173","13173","13173","1.4658217430114746","1.4658217430114746","1.4658217430114746"
"2670","13348","13348","13348","1.234076738357544","1.234076738357544","1.234076738357544"
"2708","13538","13538","13538","1.319559931755066","1.319559931755066","1.319559931755066"
"2725","13623","13623","13623","1.146873950958252","1.146873950958252","1.146873950958252"
"2726","13628","13628","13628","1.023545265197754","1.023545265197754","1.023545265197754"
"2728","13638","13638","13638","1.451052188873291","1.451052188873291","1.451052188873291"
"2746","13728","13728","13728","1.7084684371948242","1.7084684371948242","1.7084684371948242"
"2770","13848","13848","13848","1.6403617858886719","1.6403617858886719","1.6403617858886719"
"2776","13878","13878","13878","0.637447714805603","0.637447714805603","0.637447714805603"
"2777","13883","13883","13883","0.9198212027549744","0.9198212027549744","0.9198212027549744"
"2779","13893","13893","13893","0.8669640421867371","0.8669640421867371","0.8669640421867371"
"2792","13958","13958","13958","2.3552494049072266","2.3552494049072266","2.3552494049072266"
"2829","14143","14143","14143","1.3508613109588623","1.3508613109588623","1.3508613109588623"
"2836","14178","14178","14178","1.6242828369140625","1.6242828369140625","1.6242828369140625"
"2867","14333","14333","14333","1.3131921291351318","1.3131921291351318","1.3131921291351318"
"2876","14378","14378","14378","1.0707327127456665","1.0707327127456665","1.0707327127456665"
"2905","14523","14523","14523","2.066096782684326","2.066096782684326","2.066096782684326"
"2910","14548","14548","14548","0.6465568542480469","0.6465568542480469","0.6465568542480469"
"2924","14618","14618","14618","0.9814016819000244","0.9814016819000244","0.9814016819000244"
"2939","14693","14693","14693","1.139391541481018","1.139391541481018","1.139391541481018"
"2969","14843","14843","14843","1.3519433736801147","1.3519433736801147","1.3519433736801147"
"2988","14938","14938","14938","0.6806759238243103","0.6806759238243103","0.6806759238243103"
"3006","15028","15028","15028","0.9680175185203552","0.9680175185203552","0.9680175185203552"
"3015","15073","15073","15073","1.305936336517334","1.305936336517334","1.305936336517334"
"3019","15093","15093","15093","1.0593974590301514","1.0593974590301514","1.0593974590301514"
"3031","15153","15153","15153","1.4160022735595703","1.4160022735595703","1.4160022735595703"
"3043","15213","15213","15213","0.7153488397598267","0.7153488397598267","0.7153488397598267"
"3067","15333","15333","15333","0.8343212008476257","0.8343212008476257","0.8343212008476257"
"3075","15373","15373","15373","1.106144905090332","1.106144905090332","1.106144905090332"
"3078","15388","15388","15388","1.1273293495178223","1.1273293495178223","1.1273293495178223"
"3083","15413","15413","15413","2.3860647678375244","2.3860647678375244","2.3860647678375244"
"3101","15503","15503","15503","1.3771119117736816","1.3771119117736816","1.3771119117736816"
"3108","15538","15538","15538","0.7111674547195435","0.7111674547195435","0.7111674547195435"
"3121","15603","15603","15603","1.1957671642303467","1.1957671642303467","1.1957671642303467"
"3151","15753","15753","15753","2.3401410579681396","2.3401410579681396","2.3401410579681396"
"3167","15833","15833","15833","1.2347463369369507","1.2347463369369507","1.2347463369369507"
"3173","15863","15863","15863","2.82595157623291","2.82595157623291","2.82595157623291"
"3176","15878","15878","15878","2.414802074432373","2.414802074432373","2.414802074432373"
"3212","16058","16058","16058","1.45912504196167","1.45912504196167","1.45912504196167"
"3217","16083","16083","16083","0.5000911951065063","0.5000911951065063","0.5000911951065063"
"3219","16093","16093","16093","2.369175910949707","2.369175910949707","2.369175910949707"
"3222","16108","16108","16108","0.9239977598190308","0.9239977598190308","0.9239977598190308"
"3231","16153","16153","16153","0.7887411713600159","0.7887411713600159","0.7887411713600159"
"3262","16308","16308","16308","1.3087624311447144","1.3087624311447144","1.3087624311447144"
"3282","16408","16408","16408","1.178191900253296","1.178191900253296","1.178191900253296"
"3302","16508","16508","16508","1.0919498205184937","1.0919498205184937","1.0919498205184937"
"3306","16528","16528","16528","2.023453712463379","2.023453712463379","2.023453712463379"
"3309","16543","16543","16543","0.6599154472351074","0.6599154472351074","0.6599154472351074"
"3310","16548","16548","16548","0.7075273394584656","0.7075273394584656","0.7075273394584656"
"3312","16558","16558","16558","0.9591253995895386","0.9591253995895386","0.9591253995895386"
"3324","16618","16618","16618","3.7476277351379395","3.7476277351379395","3.7476277351379395"
"3354","16768","16768","16768","3.0360422134399414","3.0360422134399414","3.0360422134399414"
"3357","16783","16783","16783","1.4344422817230225","1.4344422817230225","1.4344422817230225"
"3361","16803","16803","16803","1.1312836408615112","1.1312836408615112","1.1312836408615112"
"3367","16833","16833","16833","0.6004276871681213","0.6004276871681213","0.6004276871681213"
"3380","16898","16898","16898","1.7049719095230103","1.7049719095230103","1.7049719095230103"
"3388","16938","16938","16938","1.1753672361373901","1.1753672361373901","1.1753672361373901"
"3393","16963","16963","16963","1.7926485538482666","1.7926485538482666","1.7926485538482666"
"3403","17013","17013","17013","1.360476016998291","1.360476016998291","1.360476016998291"
"3421","17103","17103","17103","0.9297013282775879","0.9297013282775879","0.9297013282775879"
"3437","17183","17183","17183","1.2110612392425537","1.2110612392425537","1.2110612392425537"
"3449","17243","17243","17243","0.9347729682922363","0.9347729682922363","0.9347729682922363"
"3459","17293","17293","17293","2.6578097343444824","2.6578097343444824","2.6578097343444824"
"3461","17303","17303","17303","1.1289985179901123","1.1289985179901123","1.1289985179901123"
"3468","17338","17338","17338","1.1044018268585205","1.1044018268585205","1.1044018268585205"
"3471","17353","17353","17353","2.3769333362579346","2.3769333362579346","2.3769333362579346"
"3486","17428","17428","17428","1.002050518989563","1.002050518989563","1.002050518989563"
"3493","17463","17463","17463","1.0564866065979004","1.0564866065979004","1.0564866065979004"
"3499","17493","17493","17493","1.0861742496490479","1.0861742496490479","1.0861742496490479"
"3504","17518","17518","17518","2.2135794162750244","2.2135794162750244","2.2135794162750244"
"3509","17543","17543","17543","1.0366131067276","1.0366131067276","1.0366131067276"
"3513","17563","17563","17563","0.8969554901123047","0.8969554901123047","0.8969554901123047"
"3542","17708","17708","17708","0.7210800647735596","0.7210800647735596","0.7210800647735596"
"3563","17813","17813","17813","0.7956879138946533","0.7956879138946533","0.7956879138946533"
"3564","17818","17818","17818","1.471663236618042","1.471663236618042","1.471663236618042"
"3567","17833","17833","17833","1.078752040863037","1.078752040863037","1.078752040863037"
"3569","17843","17843","17843","0.925013542175293","0.925013542175293","0.925013542175293"
"3572","17858","17858","17858","0.5820820331573486","0.5820820331573486","0.5820820331573486"
"3579","17893","17893","17893","0.8973336815834045","0.8973336815834045","0.8973336815834045"
"3581","17903","17903","17903","2.0086450576782227","2.0086450576782227","2.0086450576782227"
"3595","17973","17973","17973","0.5443146228790283","0.5443146228790283","0.5443146228790283"
"3598","17988","17988","17988","0.5837011337280273","0.5837011337280273","0.5837011337280273"
"3606","18028","18028","18028","0.9505651593208313","0.9505651593208313","0.9505651593208313"
"3619","18093","18093","18093","0.9335987567901611","0.9335987567901611","0.9335987567901611"
"3631","18153","18153","18153","1.4493240118026733","1.4493240118026733","1.4493240118026733"
"3638","18188","18188","18188","0.946977972984314","0.946977972984314","0.946977972984314"
"3657","18283","18283","18283","1.0012115240097046","1.0012115240097046","1.0012115240097046"
"3666","18328","18328","18328","0.6733632683753967","0.6733632683753967","0.6733632683753967"
"3680","18398","18398","18398","1.303269624710083","1.303269624710083","1.303269624710083"
"3698","18488","18488","18488","2.0581440925598145","2.0581440925598145","2.0581440925598145"
"3703","18513","18513","18513","0.7769745588302612","0.7769745588302612","0.7769745588302612"
"3738","18688","18688","18688","1.1287429332733154","1.1287429332733154","1.1287429332733154"
"3751","18753","18753","18753","1.563589334487915","1.563589334487915","1.563589334487915"
"3762","18808","18808","18808","3.4687752723693848","3.4687752723693848","3.4687752723693848"
"3766","18828","18828","18828","0.8038291931152344","0.8038291931152344","0.8038291931152344"
"3772","18858","18858","18858","0.8972766399383545","0.8972766399383545","0.8972766399383545"
"3773","18863","18863","18863","2.166110038757324","2.166110038757324","2.166110038757324"
"3783","18913","18913","18913","1.6775784492492676","1.6775784492492676","1.6775784492492676"
"3802","19008","19008","19008","2.2886013984680176","2.2886013984680176","2.2886013984680176"
"3815","19073","19073","19073","1.6444294452667236","1.6444294452667236","1.6444294452667236"
"3836","19178","19178","19178","0.5946258306503296","0.5946258306503296","0.5946258306503296"
"3854","19268","19268","19268","0.6470789313316345","0.6470789313316345","0.6470789313316345"
"3872","19358","19358","19358","1.0590271949768066","1.0590271949768066","1.0590271949768066"
"3891","19453","19453","19453","1.012915849685669","1.012915849685669","1.012915849685669"
"3903","19513","19513","19513","1.4492459297180176","1.4492459297180176","1.4492459297180176"
"3923","19613","19613","19613","0.8874335289001465","0.8874335289001465","0.8874335289001465"
"3932","19658","19658","19658","2.117259979248047","2.117259979248047","2.117259979248047"
"3938","19688","19688","19688","1.6850425004959106","1.6850425004959106","1.6850425004959106"
"3975","19873","19873","19873","0.4806053638458252","0.4806053638458252","0.4806053638458252"
"4003","20013","20013","20013","0.510701060295105","0.510701060295105","0.510701060295105"
"4014","20068","20068","20068","1.8295620679855347","1.8295620679855347","1.8295620679855347"
"4023","20113","20113","20113","2.169651508331299","2.169651508331299","2.169651508331299"
"4073","20363","20363","20363","1.2332029342651367","1.2332029342651367","1.2332029342651367"
"4077","20383","20383","20383","1.829440712928772","1.829440712928772","1.829440712928772"
"4081","20403","20403","20403","0.686220645904541","0.686220645904541","0.686220645904541"
"4085","20423","20423","20423","0.6108925342559814","0.6108925342559814","0.6108925342559814"
"4110","20548","20548","20548","1.4866368770599365","1.4866368770599365","1.4866368770599365"
"4121","20603","20603","20603","1.5376218557357788","1.5376218557357788","1.5376218557357788"
"4131","20653","20653","20653","1.4562369585037231","1.4562369585037231","1.4562369585037231"
"4146","20728","20728","20728","1.403942584991455","1.403942584991455","1.403942584991455"
"4154","20768","20768","20768","0.9722776412963867","0.9722776412963867","0.9722776412963867"
"4161","20803","20803","20803","1.828092336654663","1.828092336654663","1.828092336654663"
"4177","20883","20883","20883","0.5457602739334106","0.5457602739334106","0.5457602739334106"
"4179","20893","20893","20893","2.6653428077697754","2.6653428077697754","2.6653428077697754"
