"step","run-multi-task-debiasing-separate-logits - _step","run-multi-task-debiasing-separate-logits - _step__MIN","run-multi-task-debiasing-separate-logits - _step__MAX","run-multi-task-debiasing-separate-logits - Click loss","run-multi-task-debiasing-separate-logits - Click loss__MIN","run-multi-task-debiasing-separate-logits - Click loss__MAX"
"861","4301","4301","4301","0.2884261906147003","0.2884261906147003","0.2884261906147003"
"870","4346","4346","4346","0.308851420879364","0.308851420879364","0.308851420879364"
"926","4626","4626","4626","0.19902825355529785","0.19902825355529785","0.19902825355529785"
"927","4631","4631","4631","0.23689615726470947","0.23689615726470947","0.23689615726470947"
"946","4726","4726","4726","0.264852911233902","0.264852911233902","0.264852911233902"
"954","4766","4766","4766","0.15788593888282776","0.15788593888282776","0.15788593888282776"
"958","4786","4786","4786","0.1923900991678238","0.1923900991678238","0.1923900991678238"
"976","4876","4876","4876","0.20345817506313324","0.20345817506313324","0.20345817506313324"
"978","4886","4886","4886","0.36774519085884094","0.36774519085884094","0.36774519085884094"
"1000","4996","4996","4996","0.066483274102211","0.066483274102211","0.066483274102211"
"1005","5021","5021","5021","0.19868148863315582","0.19868148863315582","0.19868148863315582"
"1046","5226","5226","5226","0.26019567251205444","0.26019567251205444","0.26019567251205444"
"1049","5241","5241","5241","0.2894631326198578","0.2894631326198578","0.2894631326198578"
"1062","5306","5306","5306","0.45926496386528015","0.45926496386528015","0.45926496386528015"
"1068","5336","5336","5336","0.1900872439146042","0.1900872439146042","0.1900872439146042"
"1071","5351","5351","5351","0.46941235661506653","0.46941235661506653","0.46941235661506653"
"1076","5376","5376","5376","0.13063541054725647","0.13063541054725647","0.13063541054725647"
"1092","5456","5456","5456","0.3356285095214844","0.3356285095214844","0.3356285095214844"
"1093","5461","5461","5461","0.3410162329673767","0.3410162329673767","0.3410162329673767"
"1118","5586","5586","5586","0.11984329670667648","0.11984329670667648","0.11984329670667648"
"1163","5811","5811","5811","0.45334190130233765","0.45334190130233765","0.45334190130233765"
"1174","5866","5866","5866","0.216788649559021","0.216788649559021","0.216788649559021"
"1180","5896","5896","5896","0.11714071035385132","0.11714071035385132","0.11714071035385132"
"1181","5901","5901","5901","0.23322540521621704","0.23322540521621704","0.23322540521621704"
"1218","6086","6086","6086","0.3413064479827881","0.3413064479827881","0.3413064479827881"
"1234","6166","6166","6166","0.18406270444393158","0.18406270444393158","0.18406270444393158"
"1245","6221","6221","6221","0.26911264657974243","0.26911264657974243","0.26911264657974243"
"1246","6226","6226","6226","0.45883405208587646","0.45883405208587646","0.45883405208587646"
"1249","6241","6241","6241","0.1144595518708229","0.1144595518708229","0.1144595518708229"
"1263","6311","6311","6311","0.31023842096328735","0.31023842096328735","0.31023842096328735"
"1284","6416","6416","6416","0.3506264090538025","0.3506264090538025","0.3506264090538025"
"1310","6546","6546","6546","0.2413540780544281","0.2413540780544281","0.2413540780544281"
"1319","6591","6591","6591","0.18297240138053894","0.18297240138053894","0.18297240138053894"
"1332","6656","6656","6656","0.13463735580444336","0.13463735580444336","0.13463735580444336"
"1336","6676","6676","6676","0.3930877447128296","0.3930877447128296","0.3930877447128296"
"1340","6696","6696","6696","0.07902242988348007","0.07902242988348007","0.07902242988348007"
"1357","6781","6781","6781","0.18177524209022522","0.18177524209022522","0.18177524209022522"
"1358","6786","6786","6786","0.5085658431053162","0.5085658431053162","0.5085658431053162"
"1361","6801","6801","6801","0.13146430253982544","0.13146430253982544","0.13146430253982544"
"1375","6871","6871","6871","0.3533431887626648","0.3533431887626648","0.3533431887626648"
"1406","7026","7026","7026","0.3024709224700928","0.3024709224700928","0.3024709224700928"
"1409","7041","7041","7041","0.2640354335308075","0.2640354335308075","0.2640354335308075"
"1438","7186","7186","7186","0.25656795501708984","0.25656795501708984","0.25656795501708984"
"1448","7236","7236","7236","0.25437456369400024","0.25437456369400024","0.25437456369400024"
"1453","7261","7261","7261","0.2382202446460724","0.2382202446460724","0.2382202446460724"
"1485","7421","7421","7421","0.4624263644218445","0.4624263644218445","0.4624263644218445"
"1500","7496","7496","7496","0.3379279375076294","0.3379279375076294","0.3379279375076294"
"1509","7541","7541","7541","0.40454745292663574","0.40454745292663574","0.40454745292663574"
"1514","7566","7566","7566","0.18131637573242188","0.18131637573242188","0.18131637573242188"
"1518","7586","7586","7586","0.23469360172748566","0.23469360172748566","0.23469360172748566"
"1542","7706","7706","7706","0.31973060965538025","0.31973060965538025","0.31973060965538025"
"1567","7831","7831","7831","0.3070061206817627","0.3070061206817627","0.3070061206817627"
"1578","7886","7886","7886","0.40017199516296387","0.40017199516296387","0.40017199516296387"
"1582","7906","7906","7906","0.42394012212753296","0.42394012212753296","0.42394012212753296"
"1589","7941","7941","7941","0.3290790319442749","0.3290790319442749","0.3290790319442749"
"1601","8001","8001","8001","0.21675993502140045","0.21675993502140045","0.21675993502140045"
"1607","8031","8031","8031","0.24641399085521698","0.24641399085521698","0.24641399085521698"
"1623","8111","8111","8111","0.18399076163768768","0.18399076163768768","0.18399076163768768"
"1636","8176","8176","8176","0.362119197845459","0.362119197845459","0.362119197845459"
"1638","8186","8186","8186","0.2992895543575287","0.2992895543575287","0.2992895543575287"
"1656","8276","8276","8276","0.14618755877017975","0.14618755877017975","0.14618755877017975"
"1708","8536","8536","8536","0.3112347722053528","0.3112347722053528","0.3112347722053528"
"1713","8561","8561","8561","0.08576570451259613","0.08576570451259613","0.08576570451259613"
"1718","8586","8586","8586","0.24266642332077026","0.24266642332077026","0.24266642332077026"
"1722","8606","8606","8606","0.230424165725708","0.230424165725708","0.230424165725708"
"1732","8656","8656","8656","0.33519065380096436","0.33519065380096436","0.33519065380096436"
"1733","8661","8661","8661","0.3294934630393982","0.3294934630393982","0.3294934630393982"
"1735","8671","8671","8671","0.23168155550956726","0.23168155550956726","0.23168155550956726"
"1736","8676","8676","8676","0.16503922641277313","0.16503922641277313","0.16503922641277313"
"1741","8701","8701","8701","0.15931279957294464","0.15931279957294464","0.15931279957294464"
"1745","8721","8721","8721","0.1854141354560852","0.1854141354560852","0.1854141354560852"
"1747","8731","8731","8731","0.14378558099269867","0.14378558099269867","0.14378558099269867"
"1753","8761","8761","8761","0.3623327612876892","0.3623327612876892","0.3623327612876892"
"1789","8941","8941","8941","0.19028928875923157","0.19028928875923157","0.19028928875923157"
"1794","8966","8966","8966","0.3543238937854767","0.3543238937854767","0.3543238937854767"
"1822","9106","9106","9106","0.21117405593395233","0.21117405593395233","0.21117405593395233"
"1895","9471","9471","9471","0.19915786385536194","0.19915786385536194","0.19915786385536194"
"1921","9601","9601","9601","0.08551804721355438","0.08551804721355438","0.08551804721355438"
"1927","9631","9631","9631","0.1698319911956787","0.1698319911956787","0.1698319911956787"
"1931","9651","9651","9651","0.23583394289016724","0.23583394289016724","0.23583394289016724"
"1938","9686","9686","9686","0.16807439923286438","0.16807439923286438","0.16807439923286438"
"1942","9706","9706","9706","0.16646640002727509","0.16646640002727509","0.16646640002727509"
"1957","9781","9781","9781","0.2099563181400299","0.2099563181400299","0.2099563181400299"
"1974","9866","9866","9866","0.32757243514060974","0.32757243514060974","0.32757243514060974"
"1978","9886","9886","9886","0.24935603141784668","0.24935603141784668","0.24935603141784668"
"1985","9921","9921","9921","0.45070719718933105","0.45070719718933105","0.45070719718933105"
"1997","9981","9981","9981","0.18548336625099182","0.18548336625099182","0.18548336625099182"
"1998","9986","9986","9986","0.13043652474880219","0.13043652474880219","0.13043652474880219"
"2051","10251","10251","10251","0.20927801728248596","0.20927801728248596","0.20927801728248596"
"2053","10261","10261","10261","0.38631197810173035","0.38631197810173035","0.38631197810173035"
"2055","10271","10271","10271","0.1429957151412964","0.1429957151412964","0.1429957151412964"
"2058","10286","10286","10286","0.16649828851222992","0.16649828851222992","0.16649828851222992"
"2064","10316","10316","10316","0.4353278875350952","0.4353278875350952","0.4353278875350952"
"2069","10341","10341","10341","0.2595919966697693","0.2595919966697693","0.2595919966697693"
"2082","10406","10406","10406","0.6019080877304077","0.6019080877304077","0.6019080877304077"
"2119","10591","10591","10591","0.2002989947795868","0.2002989947795868","0.2002989947795868"
"2126","10626","10626","10626","0.16220037639141083","0.16220037639141083","0.16220037639141083"
"2129","10641","10641","10641","0.27251288294792175","0.27251288294792175","0.27251288294792175"
"2139","10691","10691","10691","0.168419748544693","0.168419748544693","0.168419748544693"
"2140","10696","10696","10696","0.2878733277320862","0.2878733277320862","0.2878733277320862"
"2161","10801","10801","10801","0.1227198988199234","0.1227198988199234","0.1227198988199234"
"2168","10836","10836","10836","0.32072514295578003","0.32072514295578003","0.32072514295578003"
"2205","11021","11021","11021","0.25304466485977173","0.25304466485977173","0.25304466485977173"
"2219","11091","11091","11091","0.2982180118560791","0.2982180118560791","0.2982180118560791"
"2228","11136","11136","11136","0.21134993433952332","0.21134993433952332","0.21134993433952332"
"2229","11141","11141","11141","0.21735817193984985","0.21735817193984985","0.21735817193984985"
"2246","11226","11226","11226","0.5322234630584717","0.5322234630584717","0.5322234630584717"
"2266","11326","11326","11326","0.1897844821214676","0.1897844821214676","0.1897844821214676"
"2271","11351","11351","11351","0.11245071887969971","0.11245071887969971","0.11245071887969971"
"2281","11401","11401","11401","0.2560564875602722","0.2560564875602722","0.2560564875602722"
"2286","11426","11426","11426","0.19606852531433105","0.19606852531433105","0.19606852531433105"
"2290","11446","11446","11446","0.41967499256134033","0.41967499256134033","0.41967499256134033"
"2299","11491","11491","11491","0.1078653335571289","0.1078653335571289","0.1078653335571289"
"2308","11536","11536","11536","0.2366228997707367","0.2366228997707367","0.2366228997707367"
"2312","11556","11556","11556","0.22368377447128296","0.22368377447128296","0.22368377447128296"
"2314","11566","11566","11566","0.26428303122520447","0.26428303122520447","0.26428303122520447"
"2344","11716","11716","11716","0.2083609402179718","0.2083609402179718","0.2083609402179718"
"2371","11851","11851","11851","0.261400043964386","0.261400043964386","0.261400043964386"
"2373","11861","11861","11861","0.4513987898826599","0.4513987898826599","0.4513987898826599"
"2377","11881","11881","11881","0.3132876753807068","0.3132876753807068","0.3132876753807068"
"2384","11916","11916","11916","0.2769768536090851","0.2769768536090851","0.2769768536090851"
"2398","11986","11986","11986","0.45906221866607666","0.45906221866607666","0.45906221866607666"
"2405","12021","12021","12021","0.18956845998764038","0.18956845998764038","0.18956845998764038"
"2407","12031","12031","12031","0.26132479310035706","0.26132479310035706","0.26132479310035706"
"2421","12101","12101","12101","0.16088280081748962","0.16088280081748962","0.16088280081748962"
"2442","12206","12206","12206","0.38828468322753906","0.38828468322753906","0.38828468322753906"
"2450","12246","12246","12246","0.14219911396503448","0.14219911396503448","0.14219911396503448"
"2471","12351","12351","12351","0.27224037051200867","0.27224037051200867","0.27224037051200867"
"2489","12441","12441","12441","0.18568435311317444","0.18568435311317444","0.18568435311317444"
"2504","12516","12516","12516","0.20821987092494965","0.20821987092494965","0.20821987092494965"
"2520","12596","12596","12596","0.36007463932037354","0.36007463932037354","0.36007463932037354"
"2542","12706","12706","12706","0.3225470185279846","0.3225470185279846","0.3225470185279846"
"2545","12721","12721","12721","0.334789901971817","0.334789901971817","0.334789901971817"
"2554","12766","12766","12766","0.2704613208770752","0.2704613208770752","0.2704613208770752"
"2572","12856","12856","12856","0.1585984230041504","0.1585984230041504","0.1585984230041504"
"2579","12891","12891","12891","0.21570247411727905","0.21570247411727905","0.21570247411727905"
"2584","12916","12916","12916","0.4499862492084503","0.4499862492084503","0.4499862492084503"
"2594","12966","12966","12966","0.10139836370944977","0.10139836370944977","0.10139836370944977"
"2610","13046","13046","13046","0.11546152085065842","0.11546152085065842","0.11546152085065842"
"2611","13051","13051","13051","0.18134070932865143","0.18134070932865143","0.18134070932865143"
"2661","13301","13301","13301","0.25550901889801025","0.25550901889801025","0.25550901889801025"
"2667","13331","13331","13331","0.3210161328315735","0.3210161328315735","0.3210161328315735"
"2679","13391","13391","13391","0.2060646414756775","0.2060646414756775","0.2060646414756775"
"2692","13456","13456","13456","0.1962587535381317","0.1962587535381317","0.1962587535381317"
"2699","13491","13491","13491","0.283502995967865","0.283502995967865","0.283502995967865"
"2703","13511","13511","13511","0.15320779383182526","0.15320779383182526","0.15320779383182526"
"2723","13611","13611","13611","0.1603158414363861","0.1603158414363861","0.1603158414363861"
"2738","13686","13686","13686","0.5137581825256348","0.5137581825256348","0.5137581825256348"
"2751","13751","13751","13751","0.4705907106399536","0.4705907106399536","0.4705907106399536"
"2789","13941","13941","13941","0.2672138214111328","0.2672138214111328","0.2672138214111328"
"2793","13961","13961","13961","0.3495137095451355","0.3495137095451355","0.3495137095451355"
"2796","13976","13976","13976","0.31768798828125","0.31768798828125","0.31768798828125"
"2801","14001","14001","14001","0.1869228482246399","0.1869228482246399","0.1869228482246399"
"2805","14021","14021","14021","0.22228065133094788","0.22228065133094788","0.22228065133094788"
"2819","14091","14091","14091","0.21916022896766663","0.21916022896766663","0.21916022896766663"
"2836","14176","14176","14176","0.14320635795593262","0.14320635795593262","0.14320635795593262"
"2888","14436","14436","14436","0.2975817322731018","0.2975817322731018","0.2975817322731018"
"2891","14451","14451","14451","0.23099204897880554","0.23099204897880554","0.23099204897880554"
"2892","14456","14456","14456","0.4530658423900604","0.4530658423900604","0.4530658423900604"
"2895","14471","14471","14471","0.3521103262901306","0.3521103262901306","0.3521103262901306"
"2908","14536","14536","14536","0.24957825243473053","0.24957825243473053","0.24957825243473053"
"2927","14631","14631","14631","0.44187092781066895","0.44187092781066895","0.44187092781066895"
"2961","14801","14801","14801","0.21155716478824615","0.21155716478824615","0.21155716478824615"
"2967","14831","14831","14831","0.1660403311252594","0.1660403311252594","0.1660403311252594"
"2981","14901","14901","14901","0.2115309238433838","0.2115309238433838","0.2115309238433838"
"2996","14976","14976","14976","0.2935572862625122","0.2935572862625122","0.2935572862625122"
"3011","15051","15051","15051","0.1963963359594345","0.1963963359594345","0.1963963359594345"
"3033","15161","15161","15161","0.1715089976787567","0.1715089976787567","0.1715089976787567"
"3036","15176","15176","15176","0.27402493357658386","0.27402493357658386","0.27402493357658386"
"3043","15211","15211","15211","0.16438376903533936","0.16438376903533936","0.16438376903533936"
"3045","15221","15221","15221","0.16062691807746887","0.16062691807746887","0.16062691807746887"
"3047","15231","15231","15231","0.19618192315101624","0.19618192315101624","0.19618192315101624"
"3077","15381","15381","15381","0.2867944538593292","0.2867944538593292","0.2867944538593292"
"3120","15596","15596","15596","0.21906308829784393","0.21906308829784393","0.21906308829784393"
"3138","15686","15686","15686","0.09075124561786652","0.09075124561786652","0.09075124561786652"
"3145","15721","15721","15721","0.4367638826370239","0.4367638826370239","0.4367638826370239"
"3165","15821","15821","15821","0.07876180112361908","0.07876180112361908","0.07876180112361908"
"3169","15841","15841","15841","0.1504778414964676","0.1504778414964676","0.1504778414964676"
"3178","15886","15886","15886","0.18438014388084412","0.18438014388084412","0.18438014388084412"
"3180","15896","15896","15896","0.1676121950149536","0.1676121950149536","0.1676121950149536"
"3208","16036","16036","16036","0.14887064695358276","0.14887064695358276","0.14887064695358276"
"3225","16121","16121","16121","0.19225573539733887","0.19225573539733887","0.19225573539733887"
"3226","16126","16126","16126","0.2176389843225479","0.2176389843225479","0.2176389843225479"
"3249","16241","16241","16241","0.3185208737850189","0.3185208737850189","0.3185208737850189"
"3259","16291","16291","16291","0.1385008841753006","0.1385008841753006","0.1385008841753006"
"3268","16336","16336","16336","0.24734270572662354","0.24734270572662354","0.24734270572662354"
"3288","16436","16436","16436","0.2740517854690552","0.2740517854690552","0.2740517854690552"
"3304","16516","16516","16516","0.29421278834342957","0.29421278834342957","0.29421278834342957"
"3327","16631","16631","16631","0.2542513608932495","0.2542513608932495","0.2542513608932495"
"3343","16711","16711","16711","0.10405164957046509","0.10405164957046509","0.10405164957046509"
"3369","16841","16841","16841","0.2366158366203308","0.2366158366203308","0.2366158366203308"
"3370","16846","16846","16846","0.24078397452831268","0.24078397452831268","0.24078397452831268"
"3416","17076","17076","17076","0.23069198429584503","0.23069198429584503","0.23069198429584503"
"3428","17136","17136","17136","0.21239295601844788","0.21239295601844788","0.21239295601844788"
"3429","17141","17141","17141","0.22087129950523376","0.22087129950523376","0.22087129950523376"
"3471","17351","17351","17351","0.28199541568756104","0.28199541568756104","0.28199541568756104"
"3475","17371","17371","17371","0.2598779797554016","0.2598779797554016","0.2598779797554016"
"3477","17381","17381","17381","0.2566621005535126","0.2566621005535126","0.2566621005535126"
"3478","17386","17386","17386","0.1680401712656021","0.1680401712656021","0.1680401712656021"
"3540","17696","17696","17696","0.08335054665803909","0.08335054665803909","0.08335054665803909"
"3552","17756","17756","17756","0.19138690829277039","0.19138690829277039","0.19138690829277039"
"3558","17786","17786","17786","0.14840763807296753","0.14840763807296753","0.14840763807296753"
"3561","17801","17801","17801","0.35066747665405273","0.35066747665405273","0.35066747665405273"
"3572","17856","17856","17856","0.11912033706903458","0.11912033706903458","0.11912033706903458"
"3575","17871","17871","17871","0.48485708236694336","0.48485708236694336","0.48485708236694336"
"3588","17936","17936","17936","0.27259790897369385","0.27259790897369385","0.27259790897369385"
"3597","17981","17981","17981","0.22226744890213013","0.22226744890213013","0.22226744890213013"
"3601","18001","18001","18001","0.15920355916023254","0.15920355916023254","0.15920355916023254"
"3603","18011","18011","18011","0.1328008770942688","0.1328008770942688","0.1328008770942688"
"3607","18031","18031","18031","0.21643035113811493","0.21643035113811493","0.21643035113811493"
"3644","18216","18216","18216","0.08398152887821198","0.08398152887821198","0.08398152887821198"
"3648","18236","18236","18236","0.296439528465271","0.296439528465271","0.296439528465271"
"3651","18251","18251","18251","0.19584599137306213","0.19584599137306213","0.19584599137306213"
"3654","18266","18266","18266","0.1688372641801834","0.1688372641801834","0.1688372641801834"
"3666","18326","18326","18326","0.14796119928359985","0.14796119928359985","0.14796119928359985"
"3680","18396","18396","18396","0.24747136235237122","0.24747136235237122","0.24747136235237122"
"3688","18436","18436","18436","0.18184567987918854","0.18184567987918854","0.18184567987918854"
"3710","18546","18546","18546","0.1712111234664917","0.1712111234664917","0.1712111234664917"
"3711","18551","18551","18551","0.34780293703079224","0.34780293703079224","0.34780293703079224"
"3714","18566","18566","18566","0.5092505812644958","0.5092505812644958","0.5092505812644958"
"3734","18666","18666","18666","0.34550970792770386","0.34550970792770386","0.34550970792770386"
"3746","18726","18726","18726","0.4123844504356384","0.4123844504356384","0.4123844504356384"
"3748","18736","18736","18736","0.19970937073230743","0.19970937073230743","0.19970937073230743"
"3755","18771","18771","18771","0.2839367389678955","0.2839367389678955","0.2839367389678955"
"3765","18821","18821","18821","0.2899373471736908","0.2899373471736908","0.2899373471736908"
"3775","18871","18871","18871","0.2944867014884949","0.2944867014884949","0.2944867014884949"
"3807","19031","19031","19031","0.2515077590942383","0.2515077590942383","0.2515077590942383"
"3812","19056","19056","19056","0.3311441242694855","0.3311441242694855","0.3311441242694855"
"3815","19071","19071","19071","0.2696692943572998","0.2696692943572998","0.2696692943572998"
"3820","19096","19096","19096","0.24573782086372375","0.24573782086372375","0.24573782086372375"
"3829","19141","19141","19141","0.15395183861255646","0.15395183861255646","0.15395183861255646"
"3845","19221","19221","19221","0.13404151797294617","0.13404151797294617","0.13404151797294617"
"3849","19241","19241","19241","0.17467966675758362","0.17467966675758362","0.17467966675758362"
"3879","19391","19391","19391","0.24299854040145874","0.24299854040145874","0.24299854040145874"
"3888","19436","19436","19436","0.21934163570404053","0.21934163570404053","0.21934163570404053"
"3889","19441","19441","19441","0.37466269731521606","0.37466269731521606","0.37466269731521606"
"3903","19511","19511","19511","0.23977917432785034","0.23977917432785034","0.23977917432785034"
"3926","19626","19626","19626","0.1691972315311432","0.1691972315311432","0.1691972315311432"
"3938","19686","19686","19686","0.37468987703323364","0.37468987703323364","0.37468987703323364"
"3941","19701","19701","19701","0.15192314982414246","0.15192314982414246","0.15192314982414246"
"3942","19706","19706","19706","0.32072004675865173","0.32072004675865173","0.32072004675865173"
"3945","19721","19721","19721","0.21833977103233337","0.21833977103233337","0.21833977103233337"
"3947","19731","19731","19731","0.33632606267929077","0.33632606267929077","0.33632606267929077"
"3957","19781","19781","19781","0.170549675822258","0.170549675822258","0.170549675822258"
"3974","19866","19866","19866","0.5473827123641968","0.5473827123641968","0.5473827123641968"
"3987","19931","19931","19931","0.17129260301589966","0.17129260301589966","0.17129260301589966"
"3989","19941","19941","19941","0.2381550818681717","0.2381550818681717","0.2381550818681717"
"4016","20076","20076","20076","0.12334098666906357","0.12334098666906357","0.12334098666906357"
"4040","20196","20196","20196","0.2508159279823303","0.2508159279823303","0.2508159279823303"
"4067","20331","20331","20331","0.2079324573278427","0.2079324573278427","0.2079324573278427"
"4071","20351","20351","20351","0.27580714225769043","0.27580714225769043","0.27580714225769043"
"4087","20431","20431","20431","0.16098609566688538","0.16098609566688538","0.16098609566688538"
"4103","20511","20511","20511","0.19334203004837036","0.19334203004837036","0.19334203004837036"
"4108","20536","20536","20536","0.14855186641216278","0.14855186641216278","0.14855186641216278"
"4113","20561","20561","20561","0.07899154722690582","0.07899154722690582","0.07899154722690582"
"4122","20606","20606","20606","0.5457636117935181","0.5457636117935181","0.5457636117935181"
"4131","20651","20651","20651","0.45428377389907837","0.45428377389907837","0.45428377389907837"
"4144","20716","20716","20716","0.29231926798820496","0.29231926798820496","0.29231926798820496"
"4173","20861","20861","20861","0.1472361832857132","0.1472361832857132","0.1472361832857132"
"4187","20931","20931","20931","0.22292810678482056","0.22292810678482056","0.22292810678482056"
"4203","21011","21011","21011","0.21675123274326324","0.21675123274326324","0.21675123274326324"
"4208","21036","21036","21036","0.19375008344650269","0.19375008344650269","0.19375008344650269"
"4209","21041","21041","21041","0.25598475337028503","0.25598475337028503","0.25598475337028503"
"4216","21076","21076","21076","0.2246471494436264","0.2246471494436264","0.2246471494436264"
"4225","21121","21121","21121","0.23189909756183624","0.23189909756183624","0.23189909756183624"
"4262","21306","21306","21306","0.13402420282363892","0.13402420282363892","0.13402420282363892"
"4284","21416","21416","21416","0.36976882815361023","0.36976882815361023","0.36976882815361023"
"4290","21446","21446","21446","0.2938854694366455","0.2938854694366455","0.2938854694366455"
"4298","21486","21486","21486","0.20311717689037323","0.20311717689037323","0.20311717689037323"
