"step","run-multi-task-without-debiasing - _step","run-multi-task-without-debiasing - _step__MIN","run-multi-task-without-debiasing - _step__MAX","run-multi-task-without-debiasing - Dwell-time loss","run-multi-task-without-debiasing - Dwell-time loss__MIN","run-multi-task-without-debiasing - Dwell-time loss__MAX"
"304","1518","1518","1518","0.7608868479728699","0.7608868479728699","0.7608868479728699"
"307","1533","1533","1533","1.1318278312683105","1.1318278312683105","1.1318278312683105"
"321","1603","1603","1603","0.6041498184204102","0.6041498184204102","0.6041498184204102"
"336","1678","1678","1678","0.22425581514835358","0.22425581514835358","0.22425581514835358"
"337","1683","1683","1683","1.248466968536377","1.248466968536377","1.248466968536377"
"346","1728","1728","1728","1.239150881767273","1.239150881767273","1.239150881767273"
"358","1788","1788","1788","1.1551964282989502","1.1551964282989502","1.1551964282989502"
"364","1818","1818","1818","0.9783344864845276","0.9783344864845276","0.9783344864845276"
"367","1833","1833","1833","1.0170303583145142","1.0170303583145142","1.0170303583145142"
"370","1848","1848","1848","0.5575624704360962","0.5575624704360962","0.5575624704360962"
"385","1923","1923","1923","0.6253823041915894","0.6253823041915894","0.6253823041915894"
"397","1983","1983","1983","2.0406296253204346","2.0406296253204346","2.0406296253204346"
"418","2088","2088","2088","1.381859302520752","1.381859302520752","1.381859302520752"
"433","2163","2163","2163","1.1720863580703735","1.1720863580703735","1.1720863580703735"
"440","2198","2198","2198","0.9293643832206726","0.9293643832206726","0.9293643832206726"
"478","2388","2388","2388","1.371546983718872","1.371546983718872","1.371546983718872"
"479","2393","2393","2393","1.273911952972412","1.273911952972412","1.273911952972412"
"486","2428","2428","2428","1.28606379032135","1.28606379032135","1.28606379032135"
"512","2558","2558","2558","0.42881226539611816","0.42881226539611816","0.42881226539611816"
"515","2573","2573","2573","0.9173552393913269","0.9173552393913269","0.9173552393913269"
"524","2618","2618","2618","1.4647948741912842","1.4647948741912842","1.4647948741912842"
"531","2653","2653","2653","0.8049765825271606","0.8049765825271606","0.8049765825271606"
"557","2783","2783","2783","2.0070221424102783","2.0070221424102783","2.0070221424102783"
"574","2868","2868","2868","1.1764934062957764","1.1764934062957764","1.1764934062957764"
"587","2933","2933","2933","0.9393092393875122","0.9393092393875122","0.9393092393875122"
"593","2963","2963","2963","1.5307464599609375","1.5307464599609375","1.5307464599609375"
"603","3013","3013","3013","1.5586512088775635","1.5586512088775635","1.5586512088775635"
"608","3038","3038","3038","0.9097656607627869","0.9097656607627869","0.9097656607627869"
"613","3063","3063","3063","0.3563629388809204","0.3563629388809204","0.3563629388809204"
"651","3253","3253","3253","0.6885864734649658","0.6885864734649658","0.6885864734649658"
"655","3273","3273","3273","0.239837646484375","0.239837646484375","0.239837646484375"
"669","3343","3343","3343","0.5316595435142517","0.5316595435142517","0.5316595435142517"
"670","3348","3348","3348","0.2925873398780823","0.2925873398780823","0.2925873398780823"
"674","3368","3368","3368","1.7692556381225586","1.7692556381225586","1.7692556381225586"
"685","3423","3423","3423","0.37282902002334595","0.37282902002334595","0.37282902002334595"
"694","3468","3468","3468","0.43791502714157104","0.43791502714157104","0.43791502714157104"
"695","3473","3473","3473","0.2806842625141144","0.2806842625141144","0.2806842625141144"
"705","3523","3523","3523","0.3531096875667572","0.3531096875667572","0.3531096875667572"
"709","3543","3543","3543","0.8133280277252197","0.8133280277252197","0.8133280277252197"
"726","3628","3628","3628","0.8482574224472046","0.8482574224472046","0.8482574224472046"
"747","3733","3733","3733","1.5936272144317627","1.5936272144317627","1.5936272144317627"
"754","3768","3768","3768","0.9546392560005188","0.9546392560005188","0.9546392560005188"
"772","3858","3858","3858","0.3091288208961487","0.3091288208961487","0.3091288208961487"
"791","3953","3953","3953","0.44278377294540405","0.44278377294540405","0.44278377294540405"
"800","3998","3998","3998","1.3191486597061157","1.3191486597061157","1.3191486597061157"
"804","4018","4018","4018","0.8552826642990112","0.8552826642990112","0.8552826642990112"
"810","4048","4048","4048","2.016388416290283","2.016388416290283","2.016388416290283"
"821","4103","4103","4103","0.2197357416152954","0.2197357416152954","0.2197357416152954"
"837","4183","4183","4183","0.7010453939437866","0.7010453939437866","0.7010453939437866"
"851","4253","4253","4253","1.383350133895874","1.383350133895874","1.383350133895874"
"859","4293","4293","4293","0.5578292012214661","0.5578292012214661","0.5578292012214661"
"914","4568","4568","4568","0.49265456199645996","0.49265456199645996","0.49265456199645996"
"948","4738","4738","4738","1.5584192276000977","1.5584192276000977","1.5584192276000977"
"982","4908","4908","4908","0.9936175346374512","0.9936175346374512","0.9936175346374512"
"1009","5043","5043","5043","0.7286811470985413","0.7286811470985413","0.7286811470985413"
"1014","5068","5068","5068","1.1279014348983765","1.1279014348983765","1.1279014348983765"
"1023","5113","5113","5113","1.1167806386947632","1.1167806386947632","1.1167806386947632"
"1036","5178","5178","5178","1.893599510192871","1.893599510192871","1.893599510192871"
"1039","5193","5193","5193","0.4037196934223175","0.4037196934223175","0.4037196934223175"
"1061","5303","5303","5303","1.1903411149978638","1.1903411149978638","1.1903411149978638"
"1086","5428","5428","5428","0.4645598828792572","0.4645598828792572","0.4645598828792572"
"1103","5513","5513","5513","0.7245638966560364","0.7245638966560364","0.7245638966560364"
"1114","5568","5568","5568","0.45080628991127014","0.45080628991127014","0.45080628991127014"
"1130","5648","5648","5648","0.6511741876602173","0.6511741876602173","0.6511741876602173"
"1140","5698","5698","5698","0.22555620968341827","0.22555620968341827","0.22555620968341827"
"1158","5788","5788","5788","0.5474834442138672","0.5474834442138672","0.5474834442138672"
"1159","5793","5793","5793","1.5454354286193848","1.5454354286193848","1.5454354286193848"
"1165","5823","5823","5823","0.2549712061882019","0.2549712061882019","0.2549712061882019"
"1166","5828","5828","5828","0.5187724828720093","0.5187724828720093","0.5187724828720093"
"1185","5923","5923","5923","0.7046462297439575","0.7046462297439575","0.7046462297439575"
"1189","5943","5943","5943","1.076833963394165","1.076833963394165","1.076833963394165"
"1192","5958","5958","5958","0.45348411798477173","0.45348411798477173","0.45348411798477173"
"1194","5968","5968","5968","0.26369792222976685","0.26369792222976685","0.26369792222976685"
"1196","5978","5978","5978","1.377541422843933","1.377541422843933","1.377541422843933"
"1201","6003","6003","6003","0.8057316541671753","0.8057316541671753","0.8057316541671753"
"1219","6093","6093","6093","0.12572963535785675","0.12572963535785675","0.12572963535785675"
"1227","6133","6133","6133","1.2718647718429565","1.2718647718429565","1.2718647718429565"
"1230","6148","6148","6148","1.0123751163482666","1.0123751163482666","1.0123751163482666"
"1247","6233","6233","6233","0.3362184166908264","0.3362184166908264","0.3362184166908264"
"1258","6288","6288","6288","0.4172923266887665","0.4172923266887665","0.4172923266887665"
"1263","6313","6313","6313","0.20176051557064056","0.20176051557064056","0.20176051557064056"
"1265","6323","6323","6323","0.9722388982772827","0.9722388982772827","0.9722388982772827"
"1269","6343","6343","6343","2.153127431869507","2.153127431869507","2.153127431869507"
"1276","6378","6378","6378","0.286143034696579","0.286143034696579","0.286143034696579"
"1279","6393","6393","6393","0.2781820297241211","0.2781820297241211","0.2781820297241211"
"1310","6548","6548","6548","1.1589664220809937","1.1589664220809937","1.1589664220809937"
"1362","6808","6808","6808","0.4467654228210449","0.4467654228210449","0.4467654228210449"
"1367","6833","6833","6833","0.7940983176231384","0.7940983176231384","0.7940983176231384"
"1374","6868","6868","6868","0.6547749638557434","0.6547749638557434","0.6547749638557434"
"1385","6923","6923","6923","1.246030569076538","1.246030569076538","1.246030569076538"
"1397","6983","6983","6983","0.2676219940185547","0.2676219940185547","0.2676219940185547"
"1401","7003","7003","7003","0.36995014548301697","0.36995014548301697","0.36995014548301697"
"1403","7013","7013","7013","0.06827843934297562","0.06827843934297562","0.06827843934297562"
"1412","7058","7058","7058","0.4319283664226532","0.4319283664226532","0.4319283664226532"
"1434","7168","7168","7168","0.4910375773906708","0.4910375773906708","0.4910375773906708"
"1435","7173","7173","7173","0.5664838552474976","0.5664838552474976","0.5664838552474976"
"1445","7223","7223","7223","1.1611255407333374","1.1611255407333374","1.1611255407333374"
"1452","7258","7258","7258","0.740159273147583","0.740159273147583","0.740159273147583"
"1476","7378","7378","7378","1.1629612445831299","1.1629612445831299","1.1629612445831299"
"1487","7433","7433","7433","2.7025108337402344","2.7025108337402344","2.7025108337402344"
"1491","7453","7453","7453","0.7503112554550171","0.7503112554550171","0.7503112554550171"
"1494","7468","7468","7468","0.65593421459198","0.65593421459198","0.65593421459198"
"1529","7643","7643","7643","0.12232337892055511","0.12232337892055511","0.12232337892055511"
"1535","7673","7673","7673","0.7309762835502625","0.7309762835502625","0.7309762835502625"
"1541","7703","7703","7703","1.2069867849349976","1.2069867849349976","1.2069867849349976"
"1552","7758","7758","7758","1.3482345342636108","1.3482345342636108","1.3482345342636108"
"1568","7838","7838","7838","0.5947218537330627","0.5947218537330627","0.5947218537330627"
"1584","7918","7918","7918","0.5719335079193115","0.5719335079193115","0.5719335079193115"
"1597","7983","7983","7983","1.0608826875686646","1.0608826875686646","1.0608826875686646"
"1605","8023","8023","8023","2.2973227500915527","2.2973227500915527","2.2973227500915527"
"1620","8098","8098","8098","1.605855941772461","1.605855941772461","1.605855941772461"
"1622","8108","8108","8108","1.0332682132720947","1.0332682132720947","1.0332682132720947"
"1623","8113","8113","8113","0.5857714414596558","0.5857714414596558","0.5857714414596558"
"1634","8168","8168","8168","1.8107106685638428","1.8107106685638428","1.8107106685638428"
"1646","8228","8228","8228","0.6117512583732605","0.6117512583732605","0.6117512583732605"
"1657","8283","8283","8283","0.5122127532958984","0.5122127532958984","0.5122127532958984"
"1669","8343","8343","8343","0.8263314962387085","0.8263314962387085","0.8263314962387085"
"1685","8423","8423","8423","1.1003565788269043","1.1003565788269043","1.1003565788269043"
"1724","8618","8618","8618","0.8845909833908081","0.8845909833908081","0.8845909833908081"
"1729","8643","8643","8643","0.12851020693778992","0.12851020693778992","0.12851020693778992"
"1736","8678","8678","8678","0.617186427116394","0.617186427116394","0.617186427116394"
"1770","8848","8848","8848","0.37845689058303833","0.37845689058303833","0.37845689058303833"
"1798","8988","8988","8988","0.8403095006942749","0.8403095006942749","0.8403095006942749"
"1804","9018","9018","9018","0.13114073872566223","0.13114073872566223","0.13114073872566223"
"1811","9053","9053","9053","1.4354714155197144","1.4354714155197144","1.4354714155197144"
"1819","9093","9093","9093","0.5482940673828125","0.5482940673828125","0.5482940673828125"
"1822","9108","9108","9108","1.6029775142669678","1.6029775142669678","1.6029775142669678"
"1845","9223","9223","9223","2.280320882797241","2.280320882797241","2.280320882797241"
"1852","9258","9258","9258","0.06065313518047333","0.06065313518047333","0.06065313518047333"
"1860","9298","9298","9298","0.6656453609466553","0.6656453609466553","0.6656453609466553"
"1866","9328","9328","9328","2.4357194900512695","2.4357194900512695","2.4357194900512695"
"1887","9433","9433","9433","0.16453246772289276","0.16453246772289276","0.16453246772289276"
"1919","9593","9593","9593","1.1315679550170898","1.1315679550170898","1.1315679550170898"
"1920","9598","9598","9598","0.6133519411087036","0.6133519411087036","0.6133519411087036"
"1952","9758","9758","9758","0.039999574422836304","0.039999574422836304","0.039999574422836304"
"1957","9783","9783","9783","0.4626566767692566","0.4626566767692566","0.4626566767692566"
"1977","9883","9883","9883","0.5633956789970398","0.5633956789970398","0.5633956789970398"
"1982","9908","9908","9908","0.2602381408214569","0.2602381408214569","0.2602381408214569"
"2003","10013","10013","10013","0.7337140440940857","0.7337140440940857","0.7337140440940857"
"2014","10068","10068","10068","1.1732983589172363","1.1732983589172363","1.1732983589172363"
"2055","10273","10273","10273","0.33161431550979614","0.33161431550979614","0.33161431550979614"
"2063","10313","10313","10313","1.0335171222686768","1.0335171222686768","1.0335171222686768"
"2065","10323","10323","10323","1.4437726736068726","1.4437726736068726","1.4437726736068726"
"2067","10333","10333","10333","1.1459553241729736","1.1459553241729736","1.1459553241729736"
"2078","10388","10388","10388","0.5564980506896973","0.5564980506896973","0.5564980506896973"
"2083","10413","10413","10413","0.9845262765884399","0.9845262765884399","0.9845262765884399"
"2085","10423","10423","10423","0.5921751260757446","0.5921751260757446","0.5921751260757446"
"2108","10538","10538","10538","0.17289350926876068","0.17289350926876068","0.17289350926876068"
"2120","10598","10598","10598","1.0865765810012817","1.0865765810012817","1.0865765810012817"
"2124","10618","10618","10618","1.5386325120925903","1.5386325120925903","1.5386325120925903"
"2125","10623","10623","10623","0.7324428558349609","0.7324428558349609","0.7324428558349609"
"2147","10733","10733","10733","1.1971449851989746","1.1971449851989746","1.1971449851989746"
"2170","10848","10848","10848","1.759397268295288","1.759397268295288","1.759397268295288"
"2182","10908","10908","10908","1.6991201639175415","1.6991201639175415","1.6991201639175415"
"2204","11018","11018","11018","0.6668985486030579","0.6668985486030579","0.6668985486030579"
"2212","11058","11058","11058","0.5082635283470154","0.5082635283470154","0.5082635283470154"
"2223","11113","11113","11113","1.2136963605880737","1.2136963605880737","1.2136963605880737"
"2232","11158","11158","11158","0.7053830027580261","0.7053830027580261","0.7053830027580261"
"2240","11198","11198","11198","0.5021612048149109","0.5021612048149109","0.5021612048149109"
"2241","11203","11203","11203","2.0633115768432617","2.0633115768432617","2.0633115768432617"
"2249","11243","11243","11243","1.9934568405151367","1.9934568405151367","1.9934568405151367"
"2251","11253","11253","11253","0.5085338354110718","0.5085338354110718","0.5085338354110718"
"2252","11258","11258","11258","1.5464204549789429","1.5464204549789429","1.5464204549789429"
"2253","11263","11263","11263","0.06668178737163544","0.06668178737163544","0.06668178737163544"
"2271","11353","11353","11353","0.0677863359451294","0.0677863359451294","0.0677863359451294"
"2279","11393","11393","11393","1.5605370998382568","1.5605370998382568","1.5605370998382568"
"2281","11403","11403","11403","0.8214986324310303","0.8214986324310303","0.8214986324310303"
"2282","11408","11408","11408","0.17904511094093323","0.17904511094093323","0.17904511094093323"
"2288","11438","11438","11438","2.0639076232910156","2.0639076232910156","2.0639076232910156"
"2289","11443","11443","11443","0.9105141162872314","0.9105141162872314","0.9105141162872314"
"2300","11498","11498","11498","1.2277092933654785","1.2277092933654785","1.2277092933654785"
"2316","11578","11578","11578","1.3580198287963867","1.3580198287963867","1.3580198287963867"
"2317","11583","11583","11583","1.300931692123413","1.300931692123413","1.300931692123413"
"2320","11598","11598","11598","0.425933837890625","0.425933837890625","0.425933837890625"
"2336","11678","11678","11678","0.6478323936462402","0.6478323936462402","0.6478323936462402"
"2357","11783","11783","11783","0.4892599582672119","0.4892599582672119","0.4892599582672119"
"2368","11838","11838","11838","1.306288719177246","1.306288719177246","1.306288719177246"
"2394","11968","11968","11968","0.2887020707130432","0.2887020707130432","0.2887020707130432"
"2431","12153","12153","12153","1.9416404962539673","1.9416404962539673","1.9416404962539673"
"2438","12188","12188","12188","0.5766375660896301","0.5766375660896301","0.5766375660896301"
"2447","12233","12233","12233","0.7502094507217407","0.7502094507217407","0.7502094507217407"
"2459","12293","12293","12293","1.3527064323425293","1.3527064323425293","1.3527064323425293"
"2468","12338","12338","12338","0.5452529191970825","0.5452529191970825","0.5452529191970825"
"2488","12438","12438","12438","0.10136187821626663","0.10136187821626663","0.10136187821626663"
"2500","12498","12498","12498","2.6821210384368896","2.6821210384368896","2.6821210384368896"
"2515","12573","12573","12573","0.5984271764755249","0.5984271764755249","0.5984271764755249"
"2524","12618","12618","12618","1.2063952684402466","1.2063952684402466","1.2063952684402466"
"2528","12638","12638","12638","0.6786662936210632","0.6786662936210632","0.6786662936210632"
"2531","12653","12653","12653","1.0717352628707886","1.0717352628707886","1.0717352628707886"
"2541","12703","12703","12703","0.47046640515327454","0.47046640515327454","0.47046640515327454"
"2545","12723","12723","12723","1.1236544847488403","1.1236544847488403","1.1236544847488403"
"2548","12738","12738","12738","0.6691630482673645","0.6691630482673645","0.6691630482673645"
"2551","12753","12753","12753","0.5509343147277832","0.5509343147277832","0.5509343147277832"
"2558","12788","12788","12788","0.548027753829956","0.548027753829956","0.548027753829956"
"2609","13043","13043","13043","1.8410460948944092","1.8410460948944092","1.8410460948944092"
"2613","13063","13063","13063","0.3378617763519287","0.3378617763519287","0.3378617763519287"
"2630","13148","13148","13148","0.5533533692359924","0.5533533692359924","0.5533533692359924"
"2656","13278","13278","13278","0.5451884269714355","0.5451884269714355","0.5451884269714355"
"2671","13353","13353","13353","0.8894832134246826","0.8894832134246826","0.8894832134246826"
"2684","13418","13418","13418","0.4503093957901001","0.4503093957901001","0.4503093957901001"
"2685","13423","13423","13423","0.9237030148506165","0.9237030148506165","0.9237030148506165"
"2687","13433","13433","13433","0.4438915550708771","0.4438915550708771","0.4438915550708771"
"2699","13493","13493","13493","1.0994187593460083","1.0994187593460083","1.0994187593460083"
"2702","13508","13508","13508","1.0618486404418945","1.0618486404418945","1.0618486404418945"
"2708","13538","13538","13538","0.6081115007400513","0.6081115007400513","0.6081115007400513"
"2715","13573","13573","13573","1.364963412284851","1.364963412284851","1.364963412284851"
"2721","13603","13603","13603","1.6339137554168701","1.6339137554168701","1.6339137554168701"
"2748","13738","13738","13738","1.3396542072296143","1.3396542072296143","1.3396542072296143"
"2753","13763","13763","13763","0.5500110387802124","0.5500110387802124","0.5500110387802124"
"2767","13833","13833","13833","0.3732362389564514","0.3732362389564514","0.3732362389564514"
"2784","13918","13918","13918","1.5016032457351685","1.5016032457351685","1.5016032457351685"
"2818","14088","14088","14088","0.5776058435440063","0.5776058435440063","0.5776058435440063"
"2842","14208","14208","14208","1.2891249656677246","1.2891249656677246","1.2891249656677246"
"2860","14298","14298","14298","0.5379485487937927","0.5379485487937927","0.5379485487937927"
"2868","14338","14338","14338","0.06054616719484329","0.06054616719484329","0.06054616719484329"
"2873","14363","14363","14363","0.6712206602096558","0.6712206602096558","0.6712206602096558"
"2884","14418","14418","14418","0.5301581025123596","0.5301581025123596","0.5301581025123596"
"2886","14428","14428","14428","0.5156679153442383","0.5156679153442383","0.5156679153442383"
"2893","14463","14463","14463","0.2643265128135681","0.2643265128135681","0.2643265128135681"
"2899","14493","14493","14493","1.1831096410751343","1.1831096410751343","1.1831096410751343"
"2914","14568","14568","14568","0.08322163671255112","0.08322163671255112","0.08322163671255112"
"2923","14613","14613","14613","0.25032657384872437","0.25032657384872437","0.25032657384872437"
"2930","14648","14648","14648","1.987308382987976","1.987308382987976","1.987308382987976"
"2936","14678","14678","14678","0.4171034097671509","0.4171034097671509","0.4171034097671509"
"2954","14768","14768","14768","0.2816522717475891","0.2816522717475891","0.2816522717475891"
"2962","14808","14808","14808","0.7692382335662842","0.7692382335662842","0.7692382335662842"
"2995","14973","14973","14973","1.5391854047775269","1.5391854047775269","1.5391854047775269"
"3002","15008","15008","15008","0.541817843914032","0.541817843914032","0.541817843914032"
"3025","15123","15123","15123","0.07659220695495605","0.07659220695495605","0.07659220695495605"
"3027","15133","15133","15133","0.17743545770645142","0.17743545770645142","0.17743545770645142"
"3049","15243","15243","15243","0.07007528841495514","0.07007528841495514","0.07007528841495514"
"3053","15263","15263","15263","0.23041650652885437","0.23041650652885437","0.23041650652885437"
"3067","15333","15333","15333","0.47383448481559753","0.47383448481559753","0.47383448481559753"
"3088","15438","15438","15438","0.8262695074081421","0.8262695074081421","0.8262695074081421"
"3092","15458","15458","15458","0.30987054109573364","0.30987054109573364","0.30987054109573364"
"3093","15463","15463","15463","1.5760339498519897","1.5760339498519897","1.5760339498519897"
"3098","15488","15488","15488","0.2079271823167801","0.2079271823167801","0.2079271823167801"
"3114","15568","15568","15568","1.132988452911377","1.132988452911377","1.132988452911377"
"3117","15583","15583","15583","1.2838959693908691","1.2838959693908691","1.2838959693908691"
"3119","15593","15593","15593","0.6128494739532471","0.6128494739532471","0.6128494739532471"
"3134","15668","15668","15668","0.23412759602069855","0.23412759602069855","0.23412759602069855"
"3155","15773","15773","15773","0.332618772983551","0.332618772983551","0.332618772983551"
"3158","15788","15788","15788","1.4090261459350586","1.4090261459350586","1.4090261459350586"
"3226","16128","16128","16128","0.3108461797237396","0.3108461797237396","0.3108461797237396"
"3229","16143","16143","16143","0.09384357929229736","0.09384357929229736","0.09384357929229736"
"3243","16213","16213","16213","0.6542306542396545","0.6542306542396545","0.6542306542396545"
"3249","16243","16243","16243","1.8806016445159912","1.8806016445159912","1.8806016445159912"
"3271","16353","16353","16353","0.17546680569648743","0.17546680569648743","0.17546680569648743"
"3277","16383","16383","16383","1.2819640636444092","1.2819640636444092","1.2819640636444092"
"3314","16568","16568","16568","1.555241346359253","1.555241346359253","1.555241346359253"
"3332","16658","16658","16658","1.5732285976409912","1.5732285976409912","1.5732285976409912"
"3343","16713","16713","16713","0.3472871780395508","0.3472871780395508","0.3472871780395508"
"3373","16863","16863","16863","0.5662219524383545","0.5662219524383545","0.5662219524383545"
"3395","16973","16973","16973","1.5124766826629639","1.5124766826629639","1.5124766826629639"
"3402","17008","17008","17008","1.231850266456604","1.231850266456604","1.231850266456604"
"3418","17088","17088","17088","1.2345860004425049","1.2345860004425049","1.2345860004425049"
"3421","17103","17103","17103","0.43294379115104675","0.43294379115104675","0.43294379115104675"
"3425","17123","17123","17123","0.1525488942861557","0.1525488942861557","0.1525488942861557"
"3431","17153","17153","17153","1.0225684642791748","1.0225684642791748","1.0225684642791748"
"3437","17183","17183","17183","0.8158531785011292","0.8158531785011292","0.8158531785011292"
"3451","17253","17253","17253","0.8736201524734497","0.8736201524734497","0.8736201524734497"
"3454","17268","17268","17268","0.5955115556716919","0.5955115556716919","0.5955115556716919"
"3472","17358","17358","17358","0.6794371604919434","0.6794371604919434","0.6794371604919434"
"3483","17413","17413","17413","1.3656418323516846","1.3656418323516846","1.3656418323516846"
"3503","17513","17513","17513","0.2962903678417206","0.2962903678417206","0.2962903678417206"
"3515","17573","17573","17573","1.2191627025604248","1.2191627025604248","1.2191627025604248"
"3541","17703","17703","17703","0.4837803542613983","0.4837803542613983","0.4837803542613983"
"3557","17783","17783","17783","0.919827401638031","0.919827401638031","0.919827401638031"
"3581","17903","17903","17903","1.423467993736267","1.423467993736267","1.423467993736267"
"3587","17933","17933","17933","0.17643100023269653","0.17643100023269653","0.17643100023269653"
"3596","17978","17978","17978","0.6595726013183594","0.6595726013183594","0.6595726013183594"
"3600","17998","17998","17998","2.37583065032959","2.37583065032959","2.37583065032959"
"3602","18008","18008","18008","3.108299732208252","3.108299732208252","3.108299732208252"
"3618","18088","18088","18088","0.9047331213951111","0.9047331213951111","0.9047331213951111"
"3621","18103","18103","18103","0.4491347074508667","0.4491347074508667","0.4491347074508667"
"3635","18173","18173","18173","0.9388953447341919","0.9388953447341919","0.9388953447341919"
"3644","18218","18218","18218","0.25459522008895874","0.25459522008895874","0.25459522008895874"
"3652","18258","18258","18258","1.4422417879104614","1.4422417879104614","1.4422417879104614"
"3656","18278","18278","18278","0.8159505724906921","0.8159505724906921","0.8159505724906921"
"3666","18328","18328","18328","0.2249477505683899","0.2249477505683899","0.2249477505683899"
"3672","18358","18358","18358","0.49901193380355835","0.49901193380355835","0.49901193380355835"
"3696","18478","18478","18478","1.9068748950958252","1.9068748950958252","1.9068748950958252"
"3700","18498","18498","18498","0.23926587402820587","0.23926587402820587","0.23926587402820587"
"3734","18668","18668","18668","1.1670750379562378","1.1670750379562378","1.1670750379562378"
"3742","18708","18708","18708","0.1661774218082428","0.1661774218082428","0.1661774218082428"
"3747","18733","18733","18733","0.43503502011299133","0.43503502011299133","0.43503502011299133"
"3781","18903","18903","18903","0.6141431331634521","0.6141431331634521","0.6141431331634521"
"3791","18953","18953","18953","0.2083570510149002","0.2083570510149002","0.2083570510149002"
"3806","19028","19028","19028","0.529112696647644","0.529112696647644","0.529112696647644"
"3847","19233","19233","19233","0.25268444418907166","0.25268444418907166","0.25268444418907166"
"3860","19298","19298","19298","0.30520951747894287","0.30520951747894287","0.30520951747894287"
"3878","19388","19388","19388","1.0965609550476074","1.0965609550476074","1.0965609550476074"
"3894","19468","19468","19468","1.8666833639144897","1.8666833639144897","1.8666833639144897"
"3925","19623","19623","19623","1.457747220993042","1.457747220993042","1.457747220993042"
"3941","19703","19703","19703","0.6435316801071167","0.6435316801071167","0.6435316801071167"
"3964","19818","19818","19818","0.9001917839050293","0.9001917839050293","0.9001917839050293"
"3984","19918","19918","19918","0.7084701657295227","0.7084701657295227","0.7084701657295227"
"3990","19948","19948","19948","0.10504262149333954","0.10504262149333954","0.10504262149333954"
"3994","19968","19968","19968","0.7188479900360107","0.7188479900360107","0.7188479900360107"
"4021","20103","20103","20103","0.6332299709320068","0.6332299709320068","0.6332299709320068"
"4025","20123","20123","20123","0.3903612494468689","0.3903612494468689","0.3903612494468689"
"4032","20158","20158","20158","0.5200945138931274","0.5200945138931274","0.5200945138931274"
"4046","20228","20228","20228","1.7062345743179321","1.7062345743179321","1.7062345743179321"
"4069","20343","20343","20343","0.9937381744384766","0.9937381744384766","0.9937381744384766"
"4081","20403","20403","20403","0.2730519771575928","0.2730519771575928","0.2730519771575928"
"4083","20413","20413","20413","1.2152037620544434","1.2152037620544434","1.2152037620544434"
"4089","20443","20443","20443","1.323216438293457","1.323216438293457","1.323216438293457"
"4091","20453","20453","20453","0.30821433663368225","0.30821433663368225","0.30821433663368225"
"4117","20583","20583","20583","0.9163589477539062","0.9163589477539062","0.9163589477539062"
"4124","20618","20618","20618","0.5751499533653259","0.5751499533653259","0.5751499533653259"
"4135","20673","20673","20673","0.9578699469566345","0.9578699469566345","0.9578699469566345"
"4166","20828","20828","20828","0.18681453168392181","0.18681453168392181","0.18681453168392181"
