"step","run-multi-task-debiasing-1-logit - _step","run-multi-task-debiasing-1-logit - _step__MIN","run-multi-task-debiasing-1-logit - _step__MAX","run-multi-task-debiasing-1-logit - MLM loss","run-multi-task-debiasing-1-logit - MLM loss__MIN","run-multi-task-debiasing-1-logit - MLM loss__MAX"
"837","4184","4184","4184","6.168580055236816","6.168580055236816","6.168580055236816"
"852","4259","4259","4259","5.860991477966309","5.860991477966309","5.860991477966309"
"861","4304","4304","4304","6.18988037109375","6.18988037109375","6.18988037109375"
"866","4329","4329","4329","5.9623894691467285","5.9623894691467285","5.9623894691467285"
"876","4379","4379","4379","6.1480560302734375","6.1480560302734375","6.1480560302734375"
"890","4449","4449","4449","6.162858009338379","6.162858009338379","6.162858009338379"
"926","4629","4629","4629","5.795248985290527","5.795248985290527","5.795248985290527"
"933","4664","4664","4664","5.814937591552734","5.814937591552734","5.814937591552734"
"936","4679","4679","4679","5.865657329559326","5.865657329559326","5.865657329559326"
"945","4724","4724","4724","6.378783226013184","6.378783226013184","6.378783226013184"
"967","4834","4834","4834","5.847109317779541","5.847109317779541","5.847109317779541"
"987","4934","4934","4934","5.806436538696289","5.806436538696289","5.806436538696289"
"990","4949","4949","4949","6.140109539031982","6.140109539031982","6.140109539031982"
"1001","5004","5004","5004","5.612457275390625","5.612457275390625","5.612457275390625"
"1017","5084","5084","5084","5.943110942840576","5.943110942840576","5.943110942840576"
"1028","5139","5139","5139","6.403498649597168","6.403498649597168","6.403498649597168"
"1036","5179","5179","5179","5.969695568084717","5.969695568084717","5.969695568084717"
"1052","5259","5259","5259","5.5619072914123535","5.5619072914123535","5.5619072914123535"
"1076","5379","5379","5379","5.770193576812744","5.770193576812744","5.770193576812744"
"1078","5389","5389","5389","5.9856486320495605","5.9856486320495605","5.9856486320495605"
"1111","5554","5554","5554","6.259102821350098","6.259102821350098","6.259102821350098"
"1119","5594","5594","5594","5.949965000152588","5.949965000152588","5.949965000152588"
"1124","5619","5619","5619","5.89109992980957","5.89109992980957","5.89109992980957"
"1135","5674","5674","5674","5.814548015594482","5.814548015594482","5.814548015594482"
"1145","5724","5724","5724","5.152998924255371","5.152998924255371","5.152998924255371"
"1151","5754","5754","5754","5.7902421951293945","5.7902421951293945","5.7902421951293945"
"1152","5759","5759","5759","5.4564313888549805","5.4564313888549805","5.4564313888549805"
"1175","5874","5874","5874","6.091552257537842","6.091552257537842","6.091552257537842"
"1190","5949","5949","5949","5.418374061584473","5.418374061584473","5.418374061584473"
"1201","6004","6004","6004","5.937057971954346","5.937057971954346","5.937057971954346"
"1217","6084","6084","6084","5.833148956298828","5.833148956298828","5.833148956298828"
"1223","6114","6114","6114","6.017321586608887","6.017321586608887","6.017321586608887"
"1252","6259","6259","6259","5.932502746582031","5.932502746582031","5.932502746582031"
"1272","6359","6359","6359","5.926163196563721","5.926163196563721","5.926163196563721"
"1274","6369","6369","6369","5.79827880859375","5.79827880859375","5.79827880859375"
"1280","6399","6399","6399","5.71243953704834","5.71243953704834","5.71243953704834"
"1281","6404","6404","6404","5.5643229484558105","5.5643229484558105","5.5643229484558105"
"1283","6414","6414","6414","6.07211971282959","6.07211971282959","6.07211971282959"
"1302","6509","6509","6509","5.600607872009277","5.600607872009277","5.600607872009277"
"1311","6554","6554","6554","5.815877914428711","5.815877914428711","5.815877914428711"
"1354","6769","6769","6769","5.67207670211792","5.67207670211792","5.67207670211792"
"1355","6774","6774","6774","5.827780723571777","5.827780723571777","5.827780723571777"
"1372","6859","6859","6859","5.597051620483398","5.597051620483398","5.597051620483398"
"1378","6889","6889","6889","5.731274604797363","5.731274604797363","5.731274604797363"
"1383","6914","6914","6914","5.8799004554748535","5.8799004554748535","5.8799004554748535"
"1391","6954","6954","6954","5.731514930725098","5.731514930725098","5.731514930725098"
"1406","7029","7029","7029","5.425771236419678","5.425771236419678","5.425771236419678"
"1411","7054","7054","7054","5.895857810974121","5.895857810974121","5.895857810974121"
"1415","7074","7074","7074","5.626523971557617","5.626523971557617","5.626523971557617"
"1418","7089","7089","7089","5.560741424560547","5.560741424560547","5.560741424560547"
"1438","7189","7189","7189","5.56622314453125","5.56622314453125","5.56622314453125"
"1456","7279","7279","7279","5.641238689422607","5.641238689422607","5.641238689422607"
"1459","7294","7294","7294","5.783316135406494","5.783316135406494","5.783316135406494"
"1460","7299","7299","7299","5.656388282775879","5.656388282775879","5.656388282775879"
"1484","7419","7419","7419","5.949826240539551","5.949826240539551","5.949826240539551"
"1485","7424","7424","7424","5.487231254577637","5.487231254577637","5.487231254577637"
"1492","7459","7459","7459","5.851540565490723","5.851540565490723","5.851540565490723"
"1494","7469","7469","7469","5.466222286224365","5.466222286224365","5.466222286224365"
"1515","7574","7574","7574","5.929026126861572","5.929026126861572","5.929026126861572"
"1526","7629","7629","7629","5.637301921844482","5.637301921844482","5.637301921844482"
"1538","7689","7689","7689","5.456378936767578","5.456378936767578","5.456378936767578"
"1584","7919","7919","7919","5.02333402633667","5.02333402633667","5.02333402633667"
"1608","8039","8039","8039","5.352456092834473","5.352456092834473","5.352456092834473"
"1620","8099","8099","8099","5.622457027435303","5.622457027435303","5.622457027435303"
"1638","8189","8189","8189","5.503068447113037","5.503068447113037","5.503068447113037"
"1643","8214","8214","8214","4.86275577545166","4.86275577545166","4.86275577545166"
"1645","8224","8224","8224","5.305910110473633","5.305910110473633","5.305910110473633"
"1650","8249","8249","8249","5.137583255767822","5.137583255767822","5.137583255767822"
"1652","8259","8259","8259","5.534273147583008","5.534273147583008","5.534273147583008"
"1654","8269","8269","8269","5.788535118103027","5.788535118103027","5.788535118103027"
"1661","8304","8304","8304","5.500969409942627","5.500969409942627","5.500969409942627"
"1670","8349","8349","8349","5.646904468536377","5.646904468536377","5.646904468536377"
"1672","8359","8359","8359","5.459487438201904","5.459487438201904","5.459487438201904"
"1674","8369","8369","8369","5.347521781921387","5.347521781921387","5.347521781921387"
"1707","8534","8534","8534","5.325450420379639","5.325450420379639","5.325450420379639"
"1734","8669","8669","8669","5.751158237457275","5.751158237457275","5.751158237457275"
"1738","8689","8689","8689","5.3576812744140625","5.3576812744140625","5.3576812744140625"
"1760","8799","8799","8799","5.7446393966674805","5.7446393966674805","5.7446393966674805"
"1764","8819","8819","8819","5.321903705596924","5.321903705596924","5.321903705596924"
"1765","8824","8824","8824","5.473855495452881","5.473855495452881","5.473855495452881"
"1770","8849","8849","8849","5.333467483520508","5.333467483520508","5.333467483520508"
"1791","8954","8954","8954","5.695026397705078","5.695026397705078","5.695026397705078"
"1803","9014","9014","9014","5.377466678619385","5.377466678619385","5.377466678619385"
"1809","9044","9044","9044","5.456938743591309","5.456938743591309","5.456938743591309"
"1836","9179","9179","9179","5.518307209014893","5.518307209014893","5.518307209014893"
"1868","9339","9339","9339","5.418053150177002","5.418053150177002","5.418053150177002"
"1876","9379","9379","9379","5.373495578765869","5.373495578765869","5.373495578765869"
"1891","9454","9454","9454","5.5904011726379395","5.5904011726379395","5.5904011726379395"
"1922","9609","9609","9609","5.396899700164795","5.396899700164795","5.396899700164795"
"1949","9744","9744","9744","5.532148361206055","5.532148361206055","5.532148361206055"
"1956","9779","9779","9779","5.5040998458862305","5.5040998458862305","5.5040998458862305"
"1963","9814","9814","9814","5.2179412841796875","5.2179412841796875","5.2179412841796875"
"1972","9859","9859","9859","5.333493232727051","5.333493232727051","5.333493232727051"
"1973","9864","9864","9864","5.255916118621826","5.255916118621826","5.255916118621826"
"1986","9929","9929","9929","5.420856475830078","5.420856475830078","5.420856475830078"
"1987","9934","9934","9934","5.652421951293945","5.652421951293945","5.652421951293945"
"1988","9939","9939","9939","5.472935199737549","5.472935199737549","5.472935199737549"
"1990","9949","9949","9949","5.330505847930908","5.330505847930908","5.330505847930908"
"1999","9994","9994","9994","5.318960189819336","5.318960189819336","5.318960189819336"
"2009","10044","10044","10044","5.4697585105896","5.4697585105896","5.4697585105896"
"2011","10054","10054","10054","5.822946548461914","5.822946548461914","5.822946548461914"
"2018","10089","10089","10089","5.158674240112305","5.158674240112305","5.158674240112305"
"2066","10329","10329","10329","5.715475559234619","5.715475559234619","5.715475559234619"
"2074","10369","10369","10369","5.003927230834961","5.003927230834961","5.003927230834961"
"2086","10429","10429","10429","5.249651908874512","5.249651908874512","5.249651908874512"
"2096","10479","10479","10479","5.193784236907959","5.193784236907959","5.193784236907959"
"2100","10499","10499","10499","5.509121894836426","5.509121894836426","5.509121894836426"
"2109","10544","10544","10544","5.305570125579834","5.305570125579834","5.305570125579834"
"2115","10574","10574","10574","5.128414630889893","5.128414630889893","5.128414630889893"
"2121","10604","10604","10604","5.132526874542236","5.132526874542236","5.132526874542236"
"2124","10619","10619","10619","5.31638765335083","5.31638765335083","5.31638765335083"
"2125","10624","10624","10624","5.5297465324401855","5.5297465324401855","5.5297465324401855"
"2126","10629","10629","10629","5.27055549621582","5.27055549621582","5.27055549621582"
"2166","10829","10829","10829","5.371116638183594","5.371116638183594","5.371116638183594"
"2170","10849","10849","10849","5.139810562133789","5.139810562133789","5.139810562133789"
"2182","10909","10909","10909","4.676539421081543","4.676539421081543","4.676539421081543"
"2188","10939","10939","10939","5.450879096984863","5.450879096984863","5.450879096984863"
"2191","10954","10954","10954","4.927236080169678","4.927236080169678","4.927236080169678"
"2198","10989","10989","10989","5.620044708251953","5.620044708251953","5.620044708251953"
"2218","11089","11089","11089","5.641174793243408","5.641174793243408","5.641174793243408"
"2219","11094","11094","11094","5.388340473175049","5.388340473175049","5.388340473175049"
"2262","11309","11309","11309","5.319647789001465","5.319647789001465","5.319647789001465"
"2276","11379","11379","11379","5.420102596282959","5.420102596282959","5.420102596282959"
"2286","11429","11429","11429","5.329221248626709","5.329221248626709","5.329221248626709"
"2299","11494","11494","11494","5.318702697753906","5.318702697753906","5.318702697753906"
"2326","11629","11629","11629","5.07440185546875","5.07440185546875","5.07440185546875"
"2342","11709","11709","11709","4.677915096282959","4.677915096282959","4.677915096282959"
"2349","11744","11744","11744","5.2791852951049805","5.2791852951049805","5.2791852951049805"
"2352","11759","11759","11759","5.260785102844238","5.260785102844238","5.260785102844238"
"2364","11819","11819","11819","5.194914817810059","5.194914817810059","5.194914817810059"
"2370","11849","11849","11849","5.14059591293335","5.14059591293335","5.14059591293335"
"2377","11884","11884","11884","4.927924156188965","4.927924156188965","4.927924156188965"
"2409","12044","12044","12044","5.326981544494629","5.326981544494629","5.326981544494629"
"2420","12099","12099","12099","5.531265735626221","5.531265735626221","5.531265735626221"
"2422","12109","12109","12109","5.2050933837890625","5.2050933837890625","5.2050933837890625"
"2425","12124","12124","12124","4.625962734222412","4.625962734222412","4.625962734222412"
"2464","12319","12319","12319","5.280343532562256","5.280343532562256","5.280343532562256"
"2467","12334","12334","12334","5.447120666503906","5.447120666503906","5.447120666503906"
"2473","12364","12364","12364","5.157726764678955","5.157726764678955","5.157726764678955"
"2486","12429","12429","12429","5.266160488128662","5.266160488128662","5.266160488128662"
"2501","12504","12504","12504","5.433659553527832","5.433659553527832","5.433659553527832"
"2514","12569","12569","12569","5.1879167556762695","5.1879167556762695","5.1879167556762695"
"2515","12574","12574","12574","4.71370792388916","4.71370792388916","4.71370792388916"
"2537","12684","12684","12684","4.896668910980225","4.896668910980225","4.896668910980225"
"2578","12889","12889","12889","5.28689432144165","5.28689432144165","5.28689432144165"
"2590","12949","12949","12949","5.137511730194092","5.137511730194092","5.137511730194092"
"2625","13124","13124","13124","4.519223690032959","4.519223690032959","4.519223690032959"
"2645","13224","13224","13224","4.967019081115723","4.967019081115723","4.967019081115723"
"2663","13314","13314","13314","4.3509979248046875","4.3509979248046875","4.3509979248046875"
"2674","13369","13369","13369","5.0775933265686035","5.0775933265686035","5.0775933265686035"
"2679","13394","13394","13394","4.94856595993042","4.94856595993042","4.94856595993042"
"2687","13434","13434","13434","5.095808982849121","5.095808982849121","5.095808982849121"
"2690","13449","13449","13449","4.903720378875732","4.903720378875732","4.903720378875732"
"2704","13519","13519","13519","5.514150619506836","5.514150619506836","5.514150619506836"
"2708","13539","13539","13539","4.711900234222412","4.711900234222412","4.711900234222412"
"2722","13609","13609","13609","4.949223041534424","4.949223041534424","4.949223041534424"
"2723","13614","13614","13614","5.442061901092529","5.442061901092529","5.442061901092529"
"2738","13689","13689","13689","5.111117839813232","5.111117839813232","5.111117839813232"
"2742","13709","13709","13709","4.849643230438232","4.849643230438232","4.849643230438232"
"2763","13814","13814","13814","5.124032020568848","5.124032020568848","5.124032020568848"
"2796","13979","13979","13979","5.096555709838867","5.096555709838867","5.096555709838867"
"2801","14004","14004","14004","5.285722255706787","5.285722255706787","5.285722255706787"
"2804","14019","14019","14019","5.053027629852295","5.053027629852295","5.053027629852295"
"2834","14169","14169","14169","5.258433818817139","5.258433818817139","5.258433818817139"
"2850","14249","14249","14249","4.9661970138549805","4.9661970138549805","4.9661970138549805"
"2863","14314","14314","14314","5.255369186401367","5.255369186401367","5.255369186401367"
"2888","14439","14439","14439","5.392776966094971","5.392776966094971","5.392776966094971"
"2911","14554","14554","14554","5.1837053298950195","5.1837053298950195","5.1837053298950195"
"2925","14624","14624","14624","4.785232067108154","4.785232067108154","4.785232067108154"
"2939","14694","14694","14694","4.919177055358887","4.919177055358887","4.919177055358887"
"2954","14769","14769","14769","4.9019246101379395","4.9019246101379395","4.9019246101379395"
"2957","14784","14784","14784","5.4139790534973145","5.4139790534973145","5.4139790534973145"
"2959","14794","14794","14794","4.958665370941162","4.958665370941162","4.958665370941162"
"2991","14954","14954","14954","4.42953634262085","4.42953634262085","4.42953634262085"
"3013","15064","15064","15064","4.938592910766602","4.938592910766602","4.938592910766602"
"3017","15084","15084","15084","4.8502044677734375","4.8502044677734375","4.8502044677734375"
"3030","15149","15149","15149","5.204746723175049","5.204746723175049","5.204746723175049"
"3036","15179","15179","15179","5.196197032928467","5.196197032928467","5.196197032928467"
"3044","15219","15219","15219","5.1182966232299805","5.1182966232299805","5.1182966232299805"
"3061","15304","15304","15304","4.824611663818359","4.824611663818359","4.824611663818359"
"3071","15354","15354","15354","5.03910493850708","5.03910493850708","5.03910493850708"
"3080","15399","15399","15399","4.348234176635742","4.348234176635742","4.348234176635742"
"3094","15469","15469","15469","4.607004642486572","4.607004642486572","4.607004642486572"
"3110","15549","15549","15549","5.166531085968018","5.166531085968018","5.166531085968018"
"3111","15554","15554","15554","5.125702381134033","5.125702381134033","5.125702381134033"
"3132","15659","15659","15659","5.006909370422363","5.006909370422363","5.006909370422363"
"3134","15669","15669","15669","4.950809001922607","4.950809001922607","4.950809001922607"
"3142","15709","15709","15709","5.113893032073975","5.113893032073975","5.113893032073975"
"3193","15964","15964","15964","4.968398571014404","4.968398571014404","4.968398571014404"
"3197","15984","15984","15984","4.876947402954102","4.876947402954102","4.876947402954102"
"3217","16084","16084","16084","4.970868110656738","4.970868110656738","4.970868110656738"
"3226","16129","16129","16129","4.391838073730469","4.391838073730469","4.391838073730469"
"3234","16169","16169","16169","5.372012615203857","5.372012615203857","5.372012615203857"
"3236","16179","16179","16179","5.105671405792236","5.105671405792236","5.105671405792236"
"3241","16204","16204","16204","4.553546905517578","4.553546905517578","4.553546905517578"
"3242","16209","16209","16209","4.822721481323242","4.822721481323242","4.822721481323242"
"3243","16214","16214","16214","5.352740287780762","5.352740287780762","5.352740287780762"
"3255","16274","16274","16274","4.2771477699279785","4.2771477699279785","4.2771477699279785"
"3262","16309","16309","16309","4.976372718811035","4.976372718811035","4.976372718811035"
"3273","16364","16364","16364","4.995417594909668","4.995417594909668","4.995417594909668"
"3284","16419","16419","16419","4.945255279541016","4.945255279541016","4.945255279541016"
"3289","16444","16444","16444","4.449492454528809","4.449492454528809","4.449492454528809"
"3311","16554","16554","16554","4.642794132232666","4.642794132232666","4.642794132232666"
"3340","16699","16699","16699","4.739410877227783","4.739410877227783","4.739410877227783"
"3341","16704","16704","16704","5.2726149559021","5.2726149559021","5.2726149559021"
"3348","16739","16739","16739","4.715981960296631","4.715981960296631","4.715981960296631"
"3357","16784","16784","16784","4.886643409729004","4.886643409729004","4.886643409729004"
"3363","16814","16814","16814","5.087528228759766","5.087528228759766","5.087528228759766"
"3367","16834","16834","16834","4.669169902801514","4.669169902801514","4.669169902801514"
"3373","16864","16864","16864","4.779019355773926","4.779019355773926","4.779019355773926"
"3377","16884","16884","16884","5.281658172607422","5.281658172607422","5.281658172607422"
"3385","16924","16924","16924","4.922719478607178","4.922719478607178","4.922719478607178"
"3399","16994","16994","16994","4.590822696685791","4.590822696685791","4.590822696685791"
"3429","17144","17144","17144","4.873476505279541","4.873476505279541","4.873476505279541"
"3464","17319","17319","17319","5.03734827041626","5.03734827041626","5.03734827041626"
"3469","17344","17344","17344","4.6430463790893555","4.6430463790893555","4.6430463790893555"
"3474","17369","17369","17369","4.905672073364258","4.905672073364258","4.905672073364258"
"3475","17374","17374","17374","4.201196670532227","4.201196670532227","4.201196670532227"
"3551","17754","17754","17754","4.583636283874512","4.583636283874512","4.583636283874512"
"3557","17784","17784","17784","4.238439083099365","4.238439083099365","4.238439083099365"
"3569","17844","17844","17844","4.650952339172363","4.650952339172363","4.650952339172363"
"3597","17984","17984","17984","4.496495723724365","4.496495723724365","4.496495723724365"
"3600","17999","17999","17999","4.836403846740723","4.836403846740723","4.836403846740723"
"3604","18019","18019","18019","4.740586757659912","4.740586757659912","4.740586757659912"
"3626","18129","18129","18129","3.820098400115967","3.820098400115967","3.820098400115967"
"3633","18164","18164","18164","4.315289497375488","4.315289497375488","4.315289497375488"
"3644","18219","18219","18219","4.748314380645752","4.748314380645752","4.748314380645752"
"3660","18299","18299","18299","5.003302574157715","5.003302574157715","5.003302574157715"
"3670","18349","18349","18349","5.04232120513916","5.04232120513916","5.04232120513916"
"3673","18364","18364","18364","4.620762825012207","4.620762825012207","4.620762825012207"
"3677","18384","18384","18384","4.331094264984131","4.331094264984131","4.331094264984131"
"3682","18409","18409","18409","4.734823703765869","4.734823703765869","4.734823703765869"
"3710","18549","18549","18549","5.105133533477783","5.105133533477783","5.105133533477783"
"3713","18564","18564","18564","4.214259624481201","4.214259624481201","4.214259624481201"
"3733","18664","18664","18664","4.8294358253479","4.8294358253479","4.8294358253479"
"3736","18679","18679","18679","5.100151062011719","5.100151062011719","5.100151062011719"
"3743","18714","18714","18714","4.507915496826172","4.507915496826172","4.507915496826172"
"3774","18869","18869","18869","4.156769752502441","4.156769752502441","4.156769752502441"
"3783","18914","18914","18914","4.827800750732422","4.827800750732422","4.827800750732422"
"3784","18919","18919","18919","4.427628517150879","4.427628517150879","4.427628517150879"
"3805","19024","19024","19024","4.925261497497559","4.925261497497559","4.925261497497559"
"3812","19059","19059","19059","3.908970832824707","3.908970832824707","3.908970832824707"
"3845","19224","19224","19224","5.083780288696289","5.083780288696289","5.083780288696289"
"3864","19319","19319","19319","4.490640640258789","4.490640640258789","4.490640640258789"
"3873","19364","19364","19364","4.628983497619629","4.628983497619629","4.628983497619629"
"3886","19429","19429","19429","4.205384731292725","4.205384731292725","4.205384731292725"
"3890","19449","19449","19449","4.453176498413086","4.453176498413086","4.453176498413086"
"3908","19539","19539","19539","4.7054314613342285","4.7054314613342285","4.7054314613342285"
"3909","19544","19544","19544","4.60721492767334","4.60721492767334","4.60721492767334"
"3953","19764","19764","19764","4.330470085144043","4.330470085144043","4.330470085144043"
"3963","19814","19814","19814","4.388303756713867","4.388303756713867","4.388303756713867"
"3968","19839","19839","19839","4.649110317230225","4.649110317230225","4.649110317230225"
"3974","19869","19869","19869","4.064455032348633","4.064455032348633","4.064455032348633"
"3977","19884","19884","19884","4.590995788574219","4.590995788574219","4.590995788574219"
"3980","19899","19899","19899","4.312188148498535","4.312188148498535","4.312188148498535"
"3984","19919","19919","19919","4.774577617645264","4.774577617645264","4.774577617645264"
"3991","19954","19954","19954","4.868081092834473","4.868081092834473","4.868081092834473"
"3995","19974","19974","19974","4.729037284851074","4.729037284851074","4.729037284851074"
"4006","20029","20029","20029","4.525710105895996","4.525710105895996","4.525710105895996"
"4007","20034","20034","20034","4.229220867156982","4.229220867156982","4.229220867156982"
"4018","20089","20089","20089","4.091310501098633","4.091310501098633","4.091310501098633"
"4021","20104","20104","20104","4.769768238067627","4.769768238067627","4.769768238067627"
"4032","20159","20159","20159","4.696277618408203","4.696277618408203","4.696277618408203"
"4041","20204","20204","20204","4.398183822631836","4.398183822631836","4.398183822631836"
"4061","20304","20304","20304","4.269318580627441","4.269318580627441","4.269318580627441"
"4062","20309","20309","20309","5.170016765594482","5.170016765594482","5.170016765594482"
"4073","20364","20364","20364","4.288127899169922","4.288127899169922","4.288127899169922"
"4081","20404","20404","20404","4.430087089538574","4.430087089538574","4.430087089538574"
"4087","20434","20434","20434","4.920456886291504","4.920456886291504","4.920456886291504"
"4130","20649","20649","20649","4.377423286437988","4.377423286437988","4.377423286437988"
"4133","20664","20664","20664","4.271732807159424","4.271732807159424","4.271732807159424"
"4134","20669","20669","20669","4.95111608505249","4.95111608505249","4.95111608505249"
"4142","20709","20709","20709","3.9999277591705322","3.9999277591705322","3.9999277591705322"
"4147","20734","20734","20734","4.4103264808654785","4.4103264808654785","4.4103264808654785"
"4181","20904","20904","20904","4.759123802185059","4.759123802185059","4.759123802185059"
"4190","20949","20949","20949","4.760257244110107","4.760257244110107","4.760257244110107"
"4200","20999","20999","20999","4.586938381195068","4.586938381195068","4.586938381195068"
"4217","21084","21084","21084","4.153903484344482","4.153903484344482","4.153903484344482"
"4227","21134","21134","21134","4.356159210205078","4.356159210205078","4.356159210205078"
"4239","21194","21194","21194","4.212566375732422","4.212566375732422","4.212566375732422"
"4274","21369","21369","21369","4.026655197143555","4.026655197143555","4.026655197143555"
"4285","21424","21424","21424","3.9379146099090576","3.9379146099090576","3.9379146099090576"
"4306","21529","21529","21529","4.308505535125732","4.308505535125732","4.308505535125732"
"4310","21549","21549","21549","4.416574478149414","4.416574478149414","4.416574478149414"
"4312","21559","21559","21559","4.422482967376709","4.422482967376709","4.422482967376709"
"4316","21579","21579","21579","4.739372730255127","4.739372730255127","4.739372730255127"
"4351","21754","21754","21754","4.712372779846191","4.712372779846191","4.712372779846191"
"4368","21839","21839","21839","4.309023857116699","4.309023857116699","4.309023857116699"
"4372","21859","21859","21859","4.361043453216553","4.361043453216553","4.361043453216553"
